TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 19d9f1d4e29eba6388ab9ad9a3e976c6
ERRORS:
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1314.
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1317.
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1322.
**** Item %ICAION for user (HYNIKS) is repeated in want list for 1769.
**** Item %TSUKUYUMI_FULL_MOON_DOWN_SECOND_EDITION____TSUKUYUMI_SUNRISE_KINGDOM___TSUKUYUMI_CHRONOMASTERS___TSUKUYUMI_SENTINELS___TSUKUYUMI_FULL_MOON_DOWN_FIREBORN_EXPANSION___TSUKUYUMI_FULL_MOON_DOWN_LORDS_OF_THE_LOST_SEA_EXPANSION___TSUKUYUMI_FULL_MOON_DOWN_SENTINELS_EXPANSION for user (HYNIKS) is repeated in want list for 1771.
**** Item 2042 is repeated in want list for 245.
**** Item 2042 is repeated in want list for 2523.
**** Item 2042 is repeated in want list for 513.
**** Item 2042 is repeated in want list for 520.
**** Item 217 is repeated in want list for 2523.
**** Item 217 is repeated in want list for 513.
**** Item 217 is repeated in want list for 520.
**** Item 2427 is repeated in want list for 2068.
**** Item 2873 is repeated in want list for 2806.
**** Item 2873 is repeated in want list for 2809.
**** Item 2873 is repeated in want list for 2815.
**** Item 2873 is repeated in want list for 2816.
**** Item 2873 is repeated in want list for 2821.
**** Item 2873 is repeated in want list for 2831.
**** Item 2934 is repeated in want list for 2379.
**** Item 2934 is repeated in want list for 2380.
**** Item 2934 is repeated in want list for 2382.
**** Item 2934 is repeated in want list for 2383.
**** Item 2934 is repeated in want list for 2384.
**** Item 2934 is repeated in want list for 2385.
**** Item 2934 is repeated in want list for 2386.
**** Item 2934 is repeated in want list for 2388.
**** Item 2934 is repeated in want list for 2392.
**** Item 2934 is repeated in want list for 2395.
**** Item 2934 is repeated in want list for 2406.
**** Item 2934 is repeated in want list for 2407.
**** Item 2934 is repeated in want list for 2410.
**** Item 2934 is repeated in want list for 2412.
**** Item 2934 is repeated in want list for 2414.
**** Item 2934 is repeated in want list for 2415.
**** Item 2934 is repeated in want list for 2419.
**** Item 2934 is repeated in want list for 2423.
**** Item 834 is repeated in want list for 2042.
**** Item 96 is repeated in want list for 2074.
**** Unknown item %7_WONDERS_DUEL for user (PIOTREKPIOTREK) (1 occurrence)
**** Unknown item %HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_CRISIS_CONTROL_HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_HISTORICAL_EVENTS for user (YAVI) (4 occurrences)
**** Unknown item %HIGH_FRONTIER_4_ALL for user (YAVI) (2 occurrences)
**** Unknown item %KNOCKDOWN_VOLUME_II_KNOCKDOWN_VOLUME_III for user (MEFIUG) (19 occurrences)
**** Unknown item %WAR_CHEST for user (YOSEK) (1 occurrence)
**** Unknown item 1146, (1 occurrence)
**** Unknown item 12214 (1 occurrence)
**** Unknown item 12230 (1 occurrence)
**** Unknown item 1310, (1 occurrence)
**** Unknown item 1313, (4 occurrences)
**** Unknown item 1372, (4 occurrences)
**** Unknown item 1375, (3 occurrences)
**** Unknown item 1404209 (1 occurrence)
**** Unknown item 1487, (3 occurrences)
**** Unknown item 154 (1 occurrence)
**** Unknown item 155 (3 occurrences)
**** Unknown item 156 (4 occurrences)
**** Unknown item 158 (3 occurrences)
**** Unknown item 159 (1 occurrence)
**** Unknown item 160 (2 occurrences)
**** Unknown item 161 (10 occurrences)
**** Unknown item 1615, (1 occurrence)
**** Unknown item 162 (12 occurrences)
**** Unknown item 1623, (2 occurrences)
**** Unknown item 163 (36 occurrences)
**** Unknown item 1641, (2 occurrences)
**** Unknown item 1658, (4 occurrences)
**** Unknown item 1688, (2 occurrences)
**** Unknown item 1698, (1 occurrence)
**** Unknown item 1753, (1 occurrence)
**** Unknown item 1875, (3 occurrences)
**** Unknown item 1956, (4 occurrences)
**** Unknown item 2019 (10 occurrences)
**** Unknown item 204, (4 occurrences)
**** Unknown item 2043 (15 occurrences)
**** Unknown item 2046, (5 occurrences)
**** Unknown item 2069, (1 occurrence)
**** Unknown item 208, (1 occurrence)
**** Unknown item 2089 (3 occurrences)
**** Unknown item 2092 (2 occurrences)
**** Unknown item 2102, (3 occurrences)
**** Unknown item 211, (2 occurrences)
**** Unknown item 2149, (3 occurrences)
**** Unknown item 2185 (1 occurrence)
**** Unknown item 2187 (1 occurrence)
**** Unknown item 2190 (25 occurrences)
**** Unknown item 2215, (1 occurrence)
**** Unknown item 237, (3 occurrences)
**** Unknown item 2401 (55 occurrences)
**** Unknown item 2434 (1 occurrence)
**** Unknown item 244 (29 occurrences)
**** Unknown item 2440 (40 occurrences)
**** Unknown item 2448 (2 occurrences)
**** Unknown item 2457 (29 occurrences)
**** Unknown item 2459 (2 occurrences)
**** Unknown item 2479 (40 occurrences)
**** Unknown item 24992286 (1 occurrence)
**** Unknown item 266, (1 occurrence)
**** Unknown item 2713 (5 occurrences)
**** Unknown item 2715 (17 occurrences)
**** Unknown item 2730, (2 occurrences)
**** Unknown item 2748 (9 occurrences)
**** Unknown item 2765 (3 occurrences)
**** Unknown item 2947, (1 occurrence)
**** Unknown item 3066 (38 occurrences)
**** Unknown item 386, (4 occurrences)
**** Unknown item 390, (3 occurrences)
**** Unknown item 430 (12 occurrences)
**** Unknown item 560, (2 occurrences)
**** Unknown item 631 (1 occurrence)
**** Unknown item 638 (1 occurrence)
**** Unknown item 660, (4 occurrences)
**** Unknown item 681, (3 occurrences)
**** Unknown item 755, (4 occurrences)
**** Unknown item 781 (58 occurrences)
**** Unknown item 782 (56 occurrences)
**** Unknown item 844 (1 occurrence)
**** Unknown item 863, (3 occurrences)
**** Unknown item LOST_RUINS_OF_ARNAK (6 occurrences)
**** Unknown item THESAUROS (1 occurrence)

TRADE LOOPS (498 total trades):

(DOMBAS) 2298          receives (LISEK2000) 1944
(LISEK2000) 1943                   does not trade
(LISEK2000) 1944       receives (JIMI_) 2474           and sends to (DOMBAS) 2298
(LISEK2000) 1945                   does not trade
(LISEK2000) 1946                   does not trade
(LISEK2000) 1947                   does not trade
(LISEK2000) 1948       receives (HARDKOR) 481          and sends to (MELUSINA) 177
(LISEK2000) 1949                   does not trade
(LISEK2000) 1950                   does not trade
(LISEK2000) 1951                   does not trade
(LISEK2000) 1952                   does not trade
(LISEK2000) 1953                   does not trade
(LISEK2000) 1954                   does not trade
(LISEK2000) 1955                   does not trade
(LISEK2000) 1956                   does not trade
(LISEK2000) 1957                   does not trade
(LISEK2000) 1958                   does not trade
(LISEK2000) 1959                   does not trade
(LISEK2000) 1960                   does not trade
(LISEK2000) 1961       receives (TH13TEEN) 198         and sends to (STACHUSTACH187) 739
(LISEK2000) 1962                   does not trade
(LISEK2000) 1963                   does not trade
(LISEK2000) 1965                   does not trade
(LISEK2000) 1966                   does not trade
(LISEK2000) 1967                   does not trade
(LISEK2000) 1969                   does not trade
(LISEK2000) 1970                   does not trade
(LISEK2000) 1972                   does not trade
(LISEK2000) 1973                   does not trade
(LISEK2000) 1974                   does not trade
(LISEK2000) 1975                   does not trade
(LISEK2000) 1976                   does not trade
(LISEK2000) 1977                   does not trade
(LISEK2000) 1978                   does not trade
(LISEK2000) 1990                   does not trade
(LISEK2000) 2052                   does not trade
(LISEK2000) 2054       receives (GINET1) 2944          and sends to (HYNIKS) 1768
(LISEK2000) 2058                   does not trade
(LISEK2000) 2060                   does not trade
(LISEK2000) 2062                   does not trade
(LISEK2000) 2065                   does not trade
(LISEK2000) 2072                   does not trade
(LISEK2000) 2078                   does not trade
(LISEK2000) 2079                   does not trade
(LISEK2000) 2080       receives (PANCOR) 2624          and sends to (MISIENCJUSZ) 434
(LISEK2000) 2081                   does not trade
(LOMAX1983) 394        receives (LYNX32) 2911          and sends to (LYNX32) 2900
(LOMAX1983) 395                    does not trade
(LOMAX1983) 396        receives (BISTIA) 1457          and sends to (BADO666) 731
(LONYY) 804                        does not trade
(LONYY) 806            receives (GRZECHOO104) 2744     and sends to (KUBAP) 2221
(LONYY) 808                        does not trade
(LONYY) 809                        does not trade
(LONYY) 811                        does not trade
(LUKASHI) 1897                     does not trade
(LUKASHI) 1901                     does not trade
(LUKASHI) 1906                     does not trade
(LUKASHI) 22                       does not trade
(LUKASHI) 2318         receives (ZABOWSKI) 892         and sends to (ANOPTICHTYS) 309
(LUKASZ90) 1964                    does not trade
(LUKASZ90) 1968                    does not trade
(LUKASZ90) 1971                    does not trade
(LUKASZ90) 1979                    does not trade
(LUKI364) 760          receives (GROR) 2405            and sends to (JNOWACZY) 1869
(LUKI364) 761          receives (KATSEK) 1420          and sends to (SCRABER) 2292
(LUKI364) 762                      does not trade
(LUKI364) 763          receives (AMACHNO) 602          and sends to (YNIDHOGG) 2483
(LUKI364) 764          receives (ZERTHIN) 1744         and sends to (SCRABER) 1405
(LUKI364) 765                      does not trade
(LUKI364) 766          receives (ZABOWSKI) 872         and sends to (STACHUSTACH187) 525
(LUKI364) 767                      does not trade
(LYNX32) 2817                      does not trade
(LYNX32) 2834                      does not trade
(LYNX32) 2835                      does not trade
(LYNX32) 2838          receives (MIOTELKA) 2552        and sends to (ZABOWSKI) 2841
(LYNX32) 2840                      does not trade
(LYNX32) 2842                      does not trade
(LYNX32) 2845                      does not trade
(LYNX32) 2848                      does not trade
(LYNX32) 2849                      does not trade
(LYNX32) 2852                      does not trade
(LYNX32) 2854                      does not trade
(LYNX32) 2855                      does not trade
(LYNX32) 2857                      does not trade
(LYNX32) 2858                      does not trade
(LYNX32) 2859          receives (KATSEK) 1416          and sends to (MONIIALEX) 1794
(LYNX32) 2861                      does not trade
(LYNX32) 2863                      does not trade
(LYNX32) 2864                      does not trade
(LYNX32) 2866                      does not trade
(LYNX32) 2867                      does not trade
(LYNX32) 2868                      does not trade
(LYNX32) 2870                      does not trade
(LYNX32) 2871                      does not trade
(LYNX32) 2872                      does not trade
(LYNX32) 2873                      does not trade
(LYNX32) 2875                      does not trade
(LYNX32) 2877                      does not trade
(LYNX32) 2878                      does not trade
(LYNX32) 2879                      does not trade
(LYNX32) 2882                      does not trade
(LYNX32) 2884                      does not trade
(LYNX32) 2886          receives (ZABOWSKI) 870         and sends to (NIWGNIP) 1527
(LYNX32) 2887                      does not trade
(LYNX32) 2889                      does not trade
(LYNX32) 2890                      does not trade
(LYNX32) 2891                      does not trade
(LYNX32) 2893                      does not trade
(LYNX32) 2894                      does not trade
(LYNX32) 2895                      does not trade
(LYNX32) 2896                      does not trade
(LYNX32) 2898                      does not trade
(LYNX32) 2899                      does not trade
(LYNX32) 2900          receives (LOMAX1983) 394        and sends to (AMACHNO) 604
(LYNX32) 2901                      does not trade
(LYNX32) 2902                      does not trade
(LYNX32) 2903                      does not trade
(LYNX32) 2904                      does not trade
(LYNX32) 2905                      does not trade
(LYNX32) 2907                      does not trade
(LYNX32) 2908                      does not trade
(LYNX32) 2909                      does not trade
(LYNX32) 2910                      does not trade
(LYNX32) 2911          receives (TH13TEEN) 199         and sends to (LOMAX1983) 394
(LYNX32) 2912          receives (ANOPTICHTYS) 310      and sends to (ANOPTICHTYS) 310
(LYNX32) 2913                      does not trade
(LYNX32) 2914                      does not trade
(LYNX32) 2915                      does not trade
(LYNX32) 2916                      does not trade
(LYNX32) 2917                      does not trade
(LYNX32) 2918                      does not trade
(LYNX32) 2919                      does not trade
(LYNX32) 2920                      does not trade
(LYNX32) 2921                      does not trade
(LYNX32) 2922                      does not trade
(LYNX32) 2923                      does not trade
(MACCOWY) 1787                     does not trade
(MACCOWY) 1788         receives (JIMMY_DURDEN) 666     and sends to (PLANSZOWIEC) 3050
(MACCOWY) 1789                     does not trade
(MACCOWY) 1790                     does not trade
(MACCOWY) 1791                     does not trade
(MACCOWY) 1792                     does not trade
(MACCOWY) 1797                     does not trade
(MAFIN_) 2977                      does not trade
(MAFIN_) 2984                      does not trade
(MAFIN_) 2987                      does not trade
(MAFIN_) 3024                      does not trade
(MAGICPEPE) 186        receives (SWIROFF) 475          and sends to (SWIROFF) 475
(MAGICPEPE) 187                    does not trade
(MAGICPEPE) 188                    does not trade
(MAGICPEPE) 189                    does not trade
(MAGUN071) 1497        receives (KEROVAN14) 224        and sends to (SCRABER) 1402
(MAGUN071) 1499        receives (WARRTAIN) 971         and sends to (NIDHOG) 1103
(MAGUN071) 2546        receives (SCRABER) 1392         and sends to (BANANEQ) 1327
(MAJKOS) 779                       does not trade
(MAJKOS) 780                       does not trade
(MAJZOWNIK) 1883                   does not trade
(MAJZOWNIK) 1885       receives (RENEG8D) 2520         and sends to (VINIOLLI) 1606
(MAJZOWNIK) 1886                   does not trade
(MAJZOWNIK) 1887                   does not trade
(MAJZOWNIK) 1888                   does not trade
(MAJZOWNIK) 1889                   does not trade
(MAJZOWNIK) 1890                   does not trade
(MAJZOWNIK) 1891                   does not trade
(MAJZOWNIK) 1893                   does not trade
(MAJZOWNIK) 1895                   does not trade
(MAJZOWNIK) 1896                   does not trade
(MAJZOWNIK) 1898                   does not trade
(MAJZOWNIK) 1899                   does not trade
(MAJZOWNIK) 1902       receives (JNOWACZY) 1861        and sends to (PUSHEENEIRO) 1025
(MAJZOWNIK) 1904                   does not trade
(MAJZOWNIK) 1907                   does not trade
(MAJZOWNIK) 1908                   does not trade
(MAJZOWNIK) 1917                   does not trade
(MAJZOWNIK) 1918                   does not trade
(MAJZOWNIK) 1919       receives (JNOWACZY) 1867        and sends to (SPRYSIALDO) 164
(MAJZOWNIK) 1920       receives (MUDIABC) 756          and sends to (YNIDHOGG) 2481
(MALIENUS) 398                     does not trade
(MALIENUS) 399                     does not trade
(MALIENUS) 400                     does not trade
(MALIENUS) 401                     does not trade
(MALIENUS) 402                     does not trade
(MAMCZAR63) 1690       receives (MIOTELKA) 2541        and sends to (SYDONIAA) 8
(MAMCZAR63) 1691                   does not trade
(MANKOSLAW) 485                    does not trade
(MANKOSLAW) 486                    does not trade
(MANKOSLAW) 487                    does not trade
(MANKOSLAW) 488                    does not trade
(MANKOSLAW) 489                    does not trade
(MANKOSLAW) 490        receives (GRZZZ) 1858           and sends to (LIMPINGMAN) 1773
(MANKOSLAW) 491        receives (AMACHNO) 600          and sends to (PLANSZOWIEC) 3056
(MANKOSLAW) 492                    does not trade
(MANKOSLAW) 493                    does not trade
(MANKOSLAW) 495                    does not trade
(MANKOSLAW) 497        receives (BADO666) 119          and sends to (PIOTR1) 642
(MANKOSLAW) 498        receives (PATRYKGALKA) 279      and sends to (REKAWIAN) 1814
(MANWEPL) 45                       does not trade
(MANWEPL) 46                       does not trade
(MANWEPL) 47                       does not trade
(MANWEPL) 48                       does not trade
(MANWEPL) 49                       does not trade
(MANWEPL) 50           receives (WOJCIECHS) 595        and sends to (ASYMETRI) 1340
(MANWEPL) 51                       does not trade
(MANWEPL) 52                       does not trade
(MANWEPL) 53                       does not trade
(MANWEPL) 54                       does not trade
(MARBEL) 2293                      does not trade
(MARBEL) 397           receives (KARTMAN7) 1305        and sends to (VORONWE) 1620
(MARBEL) 431           receives (RAFAL1991) 696        and sends to (VOYDEN) 2773
(MARBEL) 467                       does not trade
(MARBEL) 468           receives (BADO666) 2946         and sends to (BADO666) 2946
(MARBEL) 803           receives (LADZIK) 2778          and sends to (MARMILCZ) 247
(MARBEL) 807                       does not trade
(MARKOO) 2948                      does not trade
(MARKOO) 2949                      does not trade
(MARKOO) 2950                      does not trade
(MARKOO) 2952                      does not trade
(MARKOO) 2953                      does not trade
(MARKOO) 2954                      does not trade
(MARKOO) 2955                      does not trade
(MARKOO) 2956                      does not trade
(MARKOO) 2957                      does not trade
(MARKOO) 2958                      does not trade
(MARMILCZ) 246                     does not trade
(MARMILCZ) 247         receives (MARBEL) 803           and sends to (RAISTLINJEDYNY) 469
(MARMILCZ) 248                     does not trade
(MARMILCZ) 249                     does not trade
(MARMILCZ) 250                     does not trade
(MARMILCZ) 251                     does not trade
(MARMILCZ) 252                     does not trade
(MARMILCZ) 253         receives (TENCZ) 1625           and sends to (ZIMOCH) 566
(MARMILCZ) 254                     does not trade
(MARMILCZ) 255                     does not trade
(MARMILCZ) 256                     does not trade
(MARMILCZ) 346                     does not trade
(MARSINT) 1571                     does not trade
(MARSINT) 1572                     does not trade
(MARSINT) 1573                     does not trade
(MARSINT) 1574         receives (KEROVAN14) 222        and sends to (GRYZLI83) 1528
(MARSINT) 1575                     does not trade
(MARSINT) 1579                     does not trade
(MATHANDELJR90) 2442   receives (KONTRABAS) 1496       and sends to (DZANOMARO) 641
(MATHANDELJR90) 3018               does not trade
(MAT_EYO) 1503                     does not trade
(MAT_EYO) 1505                     does not trade
(MAT_EYO) 1506                     does not trade
(MAT_EYO) 1507                     does not trade
(MAT_EYO) 1508                     does not trade
(MAT_EYO) 1509                     does not trade
(MAT_EYO) 1510                     does not trade
(MAT_EYO) 1511         receives (PATRYKGALKA) 772      and sends to (PIOTR1) 1570
(MAT_EYO) 1512                     does not trade
(MAT_EYO) 1513                     does not trade
(MAT_EYO) 1514                     does not trade
(MAT_EYO) 1515                     does not trade
(MAT_EYO) 1516         receives (PUNIYA) 2453          and sends to (KONRADSTPN) 82
(MAT_EYO) 1517                     does not trade
(MAT_EYO) 1518                     does not trade
(MAT_EYO) 1519                     does not trade
(MAT_EYO) 1520                     does not trade
(MEFIUG) 1707                      does not trade
(MEFIUG) 1709                      does not trade
(MEFIUG) 1710                      does not trade
(MEFIUG) 1711                      does not trade
(MEFIUG) 1712                      does not trade
(MEFIUG) 1714                      does not trade
(MEFIUG) 1715                      does not trade
(MEFIUG) 1716                      does not trade
(MEFIUG) 1717                      does not trade
(MEFIUG) 1720                      does not trade
(MEFIUG) 1721                      does not trade
(MEFIUG) 1722                      does not trade
(MEFIUG) 1723                      does not trade
(MEFIUG) 1724                      does not trade
(MEFIUG) 1725                      does not trade
(MEFIUG) 1726                      does not trade
(MEFIUG) 1727                      does not trade
(MEFIUG) 1728                      does not trade
(MEFIUG) 1729                      does not trade
(MEFIUG) 1730                      does not trade
(MEFIUG) 1731                      does not trade
(MEFIUG) 1733                      does not trade
(MEFIUG) 1734                      does not trade
(MEFIUG) 1735                      does not trade
(MEFIUG) 1736          receives (KEROVAN14) 206        and sends to (RENEG8D) 2520
(MEFIUG) 1738                      does not trade
(MEFIUG) 1739                      does not trade
(MEFIUG) 1740          receives (BOBQ) 2160            and sends to (PIOTRSZYJKA) 1698
(MEFIUG) 1742                      does not trade
(MEFIUG) 1743                      does not trade
(MEFIUG) 1746          receives (PANCOR) 2676          and sends to (PANCOR) 2676
(MEFIUG) 1748                      does not trade
(MEFIUG) 1749                      does not trade
(MEFIUG) 1750                      does not trade
(MEFIUG) 1751                      does not trade
(MELUSINA) 168                     does not trade
(MELUSINA) 169                     does not trade
(MELUSINA) 170                     does not trade
(MELUSINA) 171         receives (LASSE LINDSTROM) 2499 and sends to (JNOWACZY) 1861
(MELUSINA) 172                     does not trade
(MELUSINA) 173         receives (UNKNOWN0) 841         and sends to (ISKRANAPROCHY) 690
(MELUSINA) 174                     does not trade
(MELUSINA) 175                     does not trade
(MELUSINA) 176                     does not trade
(MELUSINA) 177         receives (LISEK2000) 1948       and sends to (GAMBIT_GGK) 1683
(MELUSINA) 178         receives (PLANSZOWIEC) 2692     and sends to (WOOL_F) 2844
(MELUSINA) 179         receives (GRZECHOO104) 2721     and sends to (WOOL_F) 2906
(MELUSINA) 2398                    does not trade
(MELUSINA) 2402                    does not trade
(MELUSINA) 2408                    does not trade
(MELUSINA) 2562        receives (LADZIK) 2764          and sends to (TOPBGG) 137
(MELUSINA) 2570                    does not trade
(MELUSINA) 2572        receives (VOYDEN) 2700          and sends to (KARTMAN7) 3059
(MIOTELKA) 2522                    does not trade
(MIOTELKA) 2524                    does not trade
(MIOTELKA) 2525                    does not trade
(MIOTELKA) 2527                    does not trade
(MIOTELKA) 2529                    does not trade
(MIOTELKA) 2531                    does not trade
(MIOTELKA) 2532                    does not trade
(MIOTELKA) 2536                    does not trade
(MIOTELKA) 2537                    does not trade
(MIOTELKA) 2538                    does not trade
(MIOTELKA) 2540                    does not trade
(MIOTELKA) 2541        receives (NIWGNIP) 1527         and sends to (MAMCZAR63) 1690
(MIOTELKA) 2543                    does not trade
(MIOTELKA) 2544                    does not trade
(MIOTELKA) 2547                    does not trade
(MIOTELKA) 2549                    does not trade
(MIOTELKA) 2550                    does not trade
(MIOTELKA) 2551                    does not trade
(MIOTELKA) 2552        receives (RAPHAELL7) 975        and sends to (LYNX32) 2838
(MIOTELKA) 2553                    does not trade
(MIOTELKA) 2554                    does not trade
(MIOTELKA) 2555                    does not trade
(MISIENCJUSZ) 432                  does not trade
(MISIENCJUSZ) 433      receives (KONRADSTPN) 82        and sends to (ITTAMPL) 578
(MISIENCJUSZ) 434      receives (LISEK2000) 2080       and sends to (KOPEC) 423
(MISIENCJUSZ) 435      receives (PANCOR) 1241          and sends to (CAFFREYRLS) 2047
(MISIENCJUSZ) 436                  does not trade
(MISIENCJUSZ) 437      receives (KUBAP) 2270           and sends to (GARG) 2208
(MISIENCJUSZ) 438      receives (SYDONIAA) 8           and sends to (BAAKA) 626
(MISIENCJUSZ) 439                  does not trade
(MISZCZU666) 862                   does not trade
(MISZCZU666) 865                   does not trade
(MIZIO) 2600                       does not trade
(MIZIO) 2602                       does not trade
(MIZIO) 2603                       does not trade
(MIZIO) 2604           receives (EMGIEER) 1839         and sends to (QRZY88) 2509
(MIZIO) 2606           receives (RAFAL1991) 725        and sends to (LADZIK) 2778
(MIZIO) 2607                       does not trade
(MIZIO) 2609           receives (SPRYSIALDO) 164       and sends to (PHILM78) 1815
(MIZIO) 2614           receives (CAFFREYRLS) 2075      and sends to (PATRYKGALKA) 293
(MIZIO) 2617                       does not trade
(MIZIO) 3065                       does not trade
(MONIIALEX) 1794       receives (LYNX32) 2859          and sends to (SATINO4) 1411
(MONIIALEX) 1795                   does not trade
(MONIIALEX) 1799       receives (VAGABOOOND) 55        and sends to (RAISTLINJEDYNY) 383
(MONIIALEX) 1801                   does not trade
(MONIIALEX) 2327                   does not trade
(MONIIALEX) 2329                   does not trade
(MORKRET) 2998                     does not trade
(MORKRET) 2999                     does not trade
(MORKRET) 3001                     does not trade
(MORKRET) 3003                     does not trade
(MORKRET) 3004                     does not trade
(MORKRET) 3007                     does not trade
(MORKRET) 3008                     does not trade
(MORKRET) 3010         receives (RUTRA1992) 2421       and sends to (KATSEK) 1416
(MORKRET) 3011                     does not trade
(MORKRET) 3012                     does not trade
(MS103) 1296                       does not trade
(MS103) 1297                       does not trade
(MS103) 1298           receives (BANANEQ) 1327         and sends to (VINIOLLI) 1612
(MS103) 1299                       does not trade
(MS103) 1300                       does not trade
(MS103) 1301                       does not trade
(MUDIABC) 753                      does not trade
(MUDIABC) 754                      does not trade
(MUDIABC) 755                      does not trade
(MUDIABC) 756          receives (KONRADSTPN) 78        and sends to (MAJZOWNIK) 1920
(MUDIABC) 757                      does not trade
(MZEPTER) 2031                     does not trade
(MZEPTER) 2032                     does not trade
(MZEPTER) 2033                     does not trade
(MZEPTER) 2155                     does not trade
(MZEPTER) 2156                     does not trade
(MZEPTER) 814                      does not trade
(MZEPTER) 815                      does not trade
(MZEPTER) 816                      does not trade
(MZEPTER) 817                      does not trade
(MZEPTER) 818                      does not trade
(MZEPTER) 819                      does not trade
(MZEPTER) 820                      does not trade
(MZEPTER) 821                      does not trade
(MZEPTER) 822                      does not trade
(MZEPTER) 823                      does not trade
(MZEPTER) 824                      does not trade
(MZEPTER) 825                      does not trade
(MZEPTER) 827                      does not trade
(MZEPTER) 828          receives (CAFFREYRLS) 2055      and sends to (ITSTHISGUYAGAIN) 449
(MZEPTER) 829                      does not trade
(MZEPTER) 830                      does not trade
(MZEPTER) 831                      does not trade
(MZEPTER) 832                      does not trade
(MZEPTER) 833                      does not trade
(NIDHOG) 1061                      does not trade
(NIDHOG) 1062                      does not trade
(NIDHOG) 1063                      does not trade
(NIDHOG) 1064                      does not trade
(NIDHOG) 1065                      does not trade
(NIDHOG) 1066                      does not trade
(NIDHOG) 1067                      does not trade
(NIDHOG) 1068                      does not trade
(NIDHOG) 1069                      does not trade
(NIDHOG) 1070                      does not trade
(NIDHOG) 1071                      does not trade
(NIDHOG) 1072                      does not trade
(NIDHOG) 1073                      does not trade
(NIDHOG) 1074                      does not trade
(NIDHOG) 1075                      does not trade
(NIDHOG) 1076                      does not trade
(NIDHOG) 1077                      does not trade
(NIDHOG) 1078                      does not trade
(NIDHOG) 1079                      does not trade
(NIDHOG) 1080                      does not trade
(NIDHOG) 1081                      does not trade
(NIDHOG) 1082                      does not trade
(NIDHOG) 1083                      does not trade
(NIDHOG) 1084                      does not trade
(NIDHOG) 1085                      does not trade
(NIDHOG) 1086                      does not trade
(NIDHOG) 1087                      does not trade
(NIDHOG) 1088                      does not trade
(NIDHOG) 1089                      does not trade
(NIDHOG) 1090                      does not trade
(NIDHOG) 1091          receives (PLANSZOWIEC) 2694     and sends to (WOOL_F) 2814
(NIDHOG) 1092                      does not trade
(NIDHOG) 1093                      does not trade
(NIDHOG) 1094                      does not trade
(NIDHOG) 1095                      does not trade
(NIDHOG) 1096                      does not trade
(NIDHOG) 1097                      does not trade
(NIDHOG) 1098                      does not trade
(NIDHOG) 1099                      does not trade
(NIDHOG) 1100                      does not trade
(NIDHOG) 1101                      does not trade
(NIDHOG) 1102                      does not trade
(NIDHOG) 1103          receives (MAGUN071) 1499        and sends to (WOJCIECHS) 590
(NIDHOG) 1104                      does not trade
(NIDHOG) 1105                      does not trade
(NIDHOG) 1106                      does not trade
(NIDHOG) 1107                      does not trade
(NIDHOG) 1108                      does not trade
(NIDHOG) 1109                      does not trade
(NIDHOG) 1110                      does not trade
(NIDHOG) 1111                      does not trade
(NIDHOG) 1112                      does not trade
(NIDHOG) 1113                      does not trade
(NIDHOG) 1114                      does not trade
(NIDHOG) 1115                      does not trade
(NIDHOG) 1116                      does not trade
(NIDHOG) 3068                      does not trade
(NIWGNIP) 1522         receives (PIOTRSZYJKA) 1698     and sends to (PANCOR) 1168
(NIWGNIP) 1523                     does not trade
(NIWGNIP) 1524         receives (DZIUM8) 356           and sends to (PANCOR) 2679
(NIWGNIP) 1526                     does not trade
(NIWGNIP) 1527         receives (LYNX32) 2886          and sends to (MIOTELKA) 2541
(NIWGNIP) 1529                     does not trade
(NIWGNIP) 1530                     does not trade
(NIWGNIP) 1531                     does not trade
(NIWGNIP) 1533                     does not trade
(NIWGNIP) 1540                     does not trade
(NIWGNIP) 2309                     does not trade
(OMAM1234) 802                     does not trade
(OMAM1234) 805         receives (KLANCYG) 508          and sends to (VAGABOOOND) 1682
(OMAM1234) 810                     does not trade
(OMAM1234) 812         receives (CORRAN) 749           and sends to (ENDZITREBRON) 58
(OMAM1234) 813                     does not trade
(OSTRY) 2806                       does not trade
(OSTRY) 2809                       does not trade
(OSTRY) 2811                       does not trade
(OSTRY) 2813                       does not trade
(OSTRY) 2815                       does not trade
(OSTRY) 2816                       does not trade
(OSTRY) 2818                       does not trade
(OSTRY) 2820                       does not trade
(OSTRY) 2821                       does not trade
(OSTRY) 2823                       does not trade
(OSTRY) 2825                       does not trade
(OSTRY) 2827                       does not trade
(OSTRY) 2828                       does not trade
(OSTRY) 2829           receives (REKAWIAN) 1603        and sends to (PANCOR) 3051
(OSTRY) 2830                       does not trade
(OSTRY) 2831                       does not trade
(OSTRY) 2832                       does not trade
(OSTRY) 2833                       does not trade
(OSTRY) 2837                       does not trade
