TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 8bf462def5777e1ced1f178a36b6c92c
ERRORS:
**** Item %ABOVE_AND_BELOW for user (KROLIS) is repeated in want list for 874.
**** Item %BEE_ALERT for user (JACEKBARBER) is repeated in want list for 643.
**** Item %CITY_OF_THE_BIG_SHOULDERS for user (CWIKS) is repeated in want list for 386.
**** Item %EVERDELL for user (ANOPTICHTYS) contains item 410 sender from the same user ((ANOPTICHTYS))
**** Item %EVERDELL for user (JINGOWAWA) is repeated in want list for 496.
**** Item %LAST_AURORA for user (POKET) is repeated in want list for 1006.
**** Item %LAST_AURORA for user (POKET) is repeated in want list for 1012.
**** Item %LAST_AURORA for user (POKET) is repeated in want list for 1013.
**** Item %LAST_AURORA for user (POKET) is repeated in want list for 987.
**** Item %LEGACY for user (ARHTU) is repeated in want list for 802.
**** Item %MINERALS for user (TAMARAPL) is repeated in want list for 396.
**** Item %ORLEAN for user (STRASZNY) is repeated in want list for 985.
**** Item %ORLEAN for user (STRASZNY) is repeated in want list for 993.
**** Item %ORLÉANS for user (CWIKS) is repeated in want list for 389.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 270.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 282.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 363.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 554.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 568.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 764.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 955.
**** Item %SHIPYARD for user (GINET1) is repeated in want list for 19.
**** Item %TANG_GARDEN for user (CWIKS) is repeated in want list for 389.
**** Item %TAPESTRY for user (FORDY2) is repeated in want list for 393.
**** Item %TAPESTRY for user (FORDY2) is repeated in want list for 394.
**** Item %TREASURE_ISLAND for user (CYBAS) is repeated in want list for 311.
**** Item 320 is repeated in want list for 62.
**** Item 320 is repeated in want list for 64.
**** Item 414 is repeated in want list for 432.
**** Unknown item %TRYES for user (STRASZNY) (2 occurrences)
**** Unknown item 1001 (39 occurrences)
**** Unknown item 1003 (2 occurrences)
**** Unknown item 1004 (3 occurrences)
**** Unknown item 1005 (6 occurrences)
**** Unknown item 1007 (2 occurrences)
**** Unknown item 1008 (4 occurrences)
**** Unknown item 1009 (4 occurrences)
**** Unknown item 1011 (38 occurrences)
**** Unknown item 1014 (9 occurrences)
**** Unknown item 1015 (4 occurrences)
**** Unknown item 1017 (5 occurrences)
**** Unknown item 1020 (5 occurrences)
**** Unknown item 1025 (16 occurrences)
**** Unknown item 1026 (2 occurrences)
**** Unknown item 1027 (33 occurrences)
**** Unknown item 1028 (17 occurrences)
**** Unknown item 1029 (6 occurrences)
**** Unknown item 139 (3 occurrences)
**** Unknown item 140 (2 occurrences)
**** Unknown item 259 (2 occurrences)
**** Unknown item 260 (4 occurrences)
**** Unknown item 261 (3 occurrences)
**** Unknown item 314 (21 occurrences)
**** Unknown item 315 (4 occurrences)
**** Unknown item 316 (2 occurrences)
**** Unknown item 317 (7 occurrences)
**** Unknown item 423 (10 occurrences)
**** Unknown item 439 (4 occurrences)
**** Unknown item 483 (12 occurrences)
**** Unknown item 484 (5 occurrences)
**** Unknown item 485 (32 occurrences)
**** Unknown item 486 (53 occurrences)
**** Unknown item 487 (27 occurrences)
**** Unknown item 488 (3 occurrences)
**** Unknown item 552 (2 occurrences)
**** Unknown item 5761119 (1 occurrence)
**** Unknown item 814 (2 occurrences)
**** Unknown item 815 (40 occurrences)
**** Unknown item 816 (4 occurrences)
**** Unknown item 817 (2 occurrences)
**** Unknown item 820 (12 occurrences)
**** Unknown item 880 (2 occurrences)
**** Unknown item 881 (2 occurrences)
**** Unknown item 882 (2 occurrences)
**** Unknown item 884 (11 occurrences)
**** Unknown item 885 (3 occurrences)
**** Unknown item 887 (4 occurrences)
**** Unknown item 890 (8 occurrences)
**** Unknown item 892 (9 occurrences)
**** Unknown item 903 (20 occurrences)
**** Unknown item 988 (3 occurrences)
**** Unknown item 989 (2 occurrences)
**** Unknown item 990 (2 occurrences)
**** Unknown item 991 (2 occurrences)
**** Unknown item 992 (2 occurrences)

TRADE LOOPS (274 total trades):

(_AIS_) 620           receives (FAKIRR) 733
(MTNW) 74                         does not trade
(MTNW) 76                         does not trade
(MTNW) 79                         does not trade
(MULISTYSTAW) 262                 does not trade
(MULISTYSTAW) 384     receives (PANTERA_SNIEZNA) 408 and sends to (COEN098) 272
(MULISTYSTAW) 385                 does not trade
(MUNCHHAUSEN) 1116                does not trade
(MUNCHHAUSEN) 1118                does not trade
(MUNCHHAUSEN) 1122    receives (CINEK) 419           and sends to (PUMAR) 115
(MUNCHHAUSEN) 1123                does not trade
(MZAGORSKI) 966       receives (APRIEL) 57           and sends to (MSZMM) 169
(MZAGORSKI) 982                   does not trade
(NARO) 60                         does not trade
(NARO) 62             receives (_AIS_) 629           and sends to (FIZOLOF) 436
(NARO) 64                         does not trade
(NIKOSIS) 690         receives (KOLMOGOROV) 526      and sends to (WOOL_F) 976
(NIKOSIS) 691                     does not trade
(NIKOSIS) 692                     does not trade
(NIKOSIS) 693                     does not trade
(NIKOSIS) 695                     does not trade
(NIKOSIS) 700                     does not trade
(NIKOSIS) 704                     does not trade
(NILDOPL) 200         receives (TEHANU) 183          and sends to (RAFALOLEK) 246
(OGMIOS1981) 542                  does not trade
(OGMIOS1981) 543                  does not trade
(OGMIOS1981) 544                  does not trade
(OGMIOS1981) 545      receives (FLIEGEN) 1133        and sends to (TENCZ) 745
(OMAM1234) 694        receives (KLOS_X) 1062         and sends to (KLOS_X) 1046
(OMAM1234) 696                    does not trade
(OMAM1234) 697                    does not trade
(OMAM1234) 698                    does not trade
(OMAM1234) 699                    does not trade
(ORZEH) 100                       does not trade
(ORZEH) 102           receives (ANDYMEN) 130         and sends to (STANCZES) 659
(ORZEH) 105                       does not trade
(ORZEH) 108                       does not trade
(ORZEH) 110           receives (ARGUE) 777           and sends to (MAJKOS) 447
(ORZEH) 111                       does not trade
(ORZEH) 98                        does not trade
(ORZEH) 99                        does not trade
(OSTRY) 1073                      does not trade
(OSTRY) 1074          receives (DOCIA) 994           and sends to (_AIS_) 636
(OSTRY) 1075                      does not trade
(OSTRY) 1076                      does not trade
(OSTRY) 1083                      does not trade
(OSTRY) 1089          receives (JACEKBARBER) 643     and sends to (JUSTRAG) 306
(OSTRY) 1100                      does not trade
(PANCOR) 1105         receives (RUTRA1992) 955       and sends to (KLOS_X) 1062
(PANCOR) 1108                     does not trade
(PANCOR) 1109                     does not trade
(PANCOR) 1110                     does not trade
(PANCOR) 1112                     does not trade
(PANCOR) 1114                     does not trade
(PANCOR) 1115                     does not trade
(PANCOR) 1117         receives (ELBRUUS) 480         and sends to (SMAGDA) 113
(PANCOR) 1120         receives (WKNOTT) 357          and sends to (GAMBIT_GGK) 905
(PANTERA_SNIEZNA) 364 receives (IRONHAWK) 69         and sends to (CORQAN) 109
(PANTERA_SNIEZNA) 365             does not trade
(PANTERA_SNIEZNA) 366 receives (DOCIA) 1033          and sends to (ARAGORN4) 589
(PANTERA_SNIEZNA) 406             does not trade
(PANTERA_SNIEZNA) 408 receives (ANOPTICHTYS) 39      and sends to (MULISTYSTAW) 384
(PANTERA_SNIEZNA) 409 receives (ARAGORN4) 1010       and sends to (WAMPIK) 790
(PANTERA_SNIEZNA) 512             does not trade
(PAWELACB) 807        receives (MOOCKER) 34          and sends to (WILCZELYKO) 134
(PAWELACB) 808        receives (WAADIMCH) 540        and sends to (WAADIMCH) 540
(PAWELACB) 809        receives (PROBBI) 522          and sends to (BLEBOK) 398
(PAWELACB) 810        receives (ROGATUSIEK) 505      and sends to (PROBBI) 522
(PAWELACB) 811                    does not trade
(PAWELACB) 812                    does not trade
(PAWELACB) 813                    does not trade
(PERO PAMBARASCO) 630             does not trade
(PICIEK1990) 954                  does not trade
(PICIEK1990) 957      receives (KONRADSTPN) 470      and sends to (SIREVAN) 104
(PICIEK1990) 959                  does not trade
(PICIEK1990) 961      receives (WUJEK2114) 931       and sends to (FREYA2226) 600
(PICIEK1990) 962      receives (STANCZES) 659        and sends to (DAWTA) 240
(PICIEK1990) 963      receives (ANDREZ_PL) 1104      and sends to (DEEDO72) 856
(PICIEK1990) 968      receives (STALKEROI) 794       and sends to (DOCIA) 1033
(PIECHU) 201                      does not trade
(PIECHU) 202                      does not trade
(PIECHU) 203                      does not trade
(PIECHU) 205                      does not trade
(PIECHU) 206                      does not trade
(PIECHU) 207                      does not trade
(PIECHU) 208                      does not trade
(PIECHU) 209                      does not trade
(PIECHU) 211                      does not trade
(PIECHU) 212                      does not trade
(PIECHU) 213                      does not trade
(PIECHU) 214          receives (WAMPIK) 790          and sends to (ARHTU) 803
(PIECHU) 215                      does not trade
(PIECHU) 216                      does not trade
(PIECHU) 217                      does not trade
(PIECHU) 218          receives (ZIBIST) 717          and sends to (MEFIUG) 334
(PIECHU) 219                      does not trade
(PIECHU) 220                      does not trade
(PIECHU) 221                      does not trade
(PIECHU) 222                      does not trade
(PIECHU) 223                      does not trade
(PIECHU) 224                      does not trade
(PIECHU) 225                      does not trade
(PIECHU) 279                      does not trade
(PIECHU) 281                      does not trade
(PIECHU) 283                      does not trade
(PIECHU) 284                      does not trade
(PIECHU) 286                      does not trade
(PIECHU) 288          receives (MEFIKENU) 446        and sends to (ANOPTICHTYS) 43
(PIECHU) 289                      does not trade
(PIECHU) 290                      does not trade
(PIECHU) 291                      does not trade
(PIECHU) 292                      does not trade
(PIECHU) 293                      does not trade
(PIECHU) 295                      does not trade
(PIECHU) 296                      does not trade
(PIECHU) 297                      does not trade
(PIECHU) 298                      does not trade
(PIECHU) 299          receives (ANOPTICHTYS) 40      and sends to (SOPART PL) 722
(PIECHU) 367                      does not trade
(PIECHU) 368                      does not trade
(PIECHU) 416                      does not trade
(PIOTR1) 343          receives (RYSKA) 759           and sends to (MEFIUG) 331
(PIOTR1) 344          receives (ARCRAYD) 320         and sends to (STANCZES) 649
(PIOTR1) 751          receives (KICUREK) 428         and sends to (ANDYMEN) 132
(PIOTREKBIER) 1125    receives (GINET1) 638          and sends to (MALEKITH_86) 662
(POKET) 1006                      does not trade
(POKET) 1012                      does not trade
(POKET) 1013                      does not trade
(POKET) 987           receives (CORQAN) 109          and sends to (ARHTU) 806
(POLITYK2) 429                    does not trade
(POLITYK2) 430                    does not trade
(POLITYK2) 432                    does not trade
(POLITYK2) 438                    does not trade
(PROBBI) 318                      does not trade
(PROBBI) 319                      does not trade
(PROBBI) 522          receives (PAWELACB) 810        and sends to (PAWELACB) 809
(PROBBI) 523                      does not trade
(PROBBI) 524                      does not trade
(PTKW) 59             receives (DOCIA) 376           and sends to (SARKIEL) 598
(PTKW) 765                        does not trade
(PUASHEY90) 724       receives (MEFIUG) 330          and sends to (APRIEL) 52
(PUASHEY90) 725                   does not trade
(PUMAR) 114                       does not trade
(PUMAR) 115           receives (MUNCHHAUSEN) 1122    and sends to (CAMEROON) 895
(PUMAR) 116                       does not trade
(PUMAR) 117                       does not trade
(PUMAR) 118                       does not trade
(PUMAR) 119                       does not trade
(PUMAR) 123                       does not trade
(PUMAR) 626                       does not trade
(PUMAR) 627                       does not trade
(QRZY88) 285                      does not trade
(QRZY88) 287                      does not trade
(QRZY88) 294                      does not trade
(R4VAL) 1127          receives (JAJKOS) 673          and sends to (WARHIR) 561
(RAFALOLEK) 246       receives (NILDOPL) 200         and sends to (_AIS_) 625
(RAFALOLEK) 247                   does not trade
(RAIPL) 964           receives (ANDYMEN) 132         and sends to (FREYA2226) 604
(RAIPL) 965                       does not trade
(RAIPL) 967                       does not trade
(RAIPL) 971                       does not trade
(RAIPL) 972                       does not trade
(RAIPL) 977                       does not trade
(RAPHAELL7) 10                    does not trade
(RAPHAELL7) 11                    does not trade
(RAPHAELL7) 12        receives (MTNW) 73             and sends to (LYSYPK) 507
(RAPHAELL7) 13                    does not trade
(RAPHAELL7) 14                    does not trade
(RAPHAELL7) 15                    does not trade
(RAPHAELL7) 4                     does not trade
(RAPHAELL7) 495                   does not trade
(RAPHAELL7) 5                     does not trade
(RAPHAELL7) 7                     does not trade
(RAPHAELL7) 8                     does not trade
(RAPHAELL7) 9                     does not trade
(RENEG8D) 533         receives (SYDONIAA) 635        and sends to (BLEBOK) 405
(RENEG8D) 534                     does not trade
(RENEG8D) 535                     does not trade
(RENEG8D) 536                     does not trade
(RENEG8D) 538                     does not trade
(RENEG8D) 539                     does not trade
(REVELEMENT) 818      receives (ANOPTICHTYS) 43      and sends to (CAMEROON) 897
(REVELEMENT) 819                  does not trade
(RFLA) 351                        does not trade
(RFLA) 352                        does not trade
(ROGATUSIEK) 505      receives (8RAMBO88) 360        and sends to (PAWELACB) 810
(ROGATUSIEK) 506      receives (SIREVAN) 104         and sends to (STANCZES) 654
(ROGATUSIEK) 508      receives (KASZKIET) 141        and sends to (BAGESE) 440
(ROGATUSIEK) 509      receives (GARG) 942            and sends to (BLEBOK) 412
(ROGATUSIEK) 511      receives (COEN098) 272         and sends to (CYBAS) 311
(ROGATUSIEK) 513                  does not trade
(ROGATUSIEK) 514                  does not trade
(ROGATUSIEK) 516                  does not trade
(ROGATUSIEK) 518                  does not trade
(RUTRA1992) 182                   does not trade
(RUTRA1992) 270                   does not trade
(RUTRA1992) 282                   does not trade
(RUTRA1992) 363                   does not trade
(RUTRA1992) 501                   does not trade
(RUTRA1992) 554       receives (FANTAZYN) 586        and sends to (MEFIUG) 332
(RUTRA1992) 568       receives (SIPIO) 776           and sends to (FLIEGEN) 1133
(RUTRA1992) 764                   does not trade
(RUTRA1992) 861                   does not trade
(RUTRA1992) 955       receives (MBIRD) 178           and sends to (PANCOR) 1105
(RUTRA1992) 956       receives (STANCZES) 649        and sends to (GINET1) 639
(RUTRA1992) 958                   does not trade
(RUTRA1992) 960                   does not trade
(RYSKA) 754                       does not trade
(RYSKA) 755                       does not trade
(RYSKA) 756                       does not trade
(RYSKA) 757                       does not trade
(RYSKA) 758                       does not trade
(RYSKA) 759           receives (WAMPIK) 789          and sends to (PIOTR1) 343
(SARKIEL) 597                     does not trade
(SARKIEL) 598         receives (PTKW) 59             and sends to (VENOSTHE) 763
(SARKIEL) 599                     does not trade
(SARKIEL) 602                     does not trade
(SARKIEL) 605         receives (FIZOLOF) 433         and sends to (ARCRAYD) 320
(SCARLETMARA) 374                 does not trade
(SCARLETMARA) 427                 does not trade
(SCARLETMARA) 431                 does not trade
(SCARLETMARA) 441     receives (DEEDO72) 839         and sends to (WLSB) 951
(SCARLETMARA) 442                 does not trade
(SCARLETMARA) 443                 does not trade
(SCARLETMARA) 444                 does not trade
(SCARLETMARA) 450                 does not trade
(SCARLETMARA) 546                 does not trade
(SCARLETMARA) 547                 does not trade
(SCARLETMARA) 645                 does not trade
(SCARLETMARA) 646                 does not trade
(SIPIO) 610                       does not trade
(SIPIO) 611                       does not trade
(SIPIO) 612                       does not trade
(SIPIO) 613           receives (DAWTA) 240           and sends to (DEEDO72) 849
(SIPIO) 614           receives (CORABB) 1024         and sends to (KICUREK) 428
(SIPIO) 615                       does not trade
(SIPIO) 616                       does not trade
(SIPIO) 617                       does not trade
(SIPIO) 619                       does not trade
(SIPIO) 621                       does not trade
(SIPIO) 622                       does not trade
(SIPIO) 623                       does not trade
(SIPIO) 776           receives (TOMAX22) 740         and sends to (RUTRA1992) 568
(SIREVAN) 101                     does not trade
(SIREVAN) 103         receives (ZBAJSZEK) 768        and sends to (_SLY_) 946
(SIREVAN) 104         receives (PICIEK1990) 957      and sends to (ROGATUSIEK) 506
(SIREVAN) 106                     does not trade
(SIREVAN) 107         receives (COEN098) 275         and sends to (WAMPIK) 789
(SIREVAN) 397                     does not trade
(SMAGDA) 113          receives (PANCOR) 1117         and sends to (MEFIUG) 329
(SMAGDA) 199          receives (MEFIUG) 331          and sends to (SPRYSIALDO) 550
(SMAGDA) 229                      does not trade
(SMAGDA) 61                       does not trade
(SMAGDA) 63           receives (MARKOO) 595          and sends to (ARAGORN4) 1010
(SOPART PL) 706                   does not trade
(SOPART PL) 708       receives (GREGMAN42) 710       and sends to (DARKERSIDE) 494
(SOPART PL) 712                   does not trade
(SOPART PL) 714                   does not trade
(SOPART PL) 716                   does not trade
(SOPART PL) 718                   does not trade
(SOPART PL) 719                   does not trade
(SOPART PL) 721       receives (FREYA2226) 604       and sends to (VASVASVAS) 949
(SOPART PL) 722       receives (PIECHU) 299          and sends to (GINET1) 32
(SOPART PL) 723                   does not trade
(SOPART PL) 735       receives (GAMBIT_GGK) 905      and sends to (KLOS_X) 1066
(SPRYSIALDO) 1119                 does not trade
(SPRYSIALDO) 1121                 does not trade
(SPRYSIALDO) 548                  does not trade
(SPRYSIALDO) 549                  does not trade
(SPRYSIALDO) 550      receives (SMAGDA) 199          and sends to (_AIS_) 629
(SPRYSIALDO) 551                  does not trade
(SPRYSIALDO) 553      receives (TAMARAPL) 396        and sends to (LOMAX1983) 70
(STACHU772) 350                   does not trade
(STALKEROI) 792                   does not trade
(STALKEROI) 793       receives (MNOWACZY) 227        and sends to (WUJEK2114) 931
(STALKEROI) 794       receives (KMET) 582            and sends to (PICIEK1990) 968
(STALKEROI) 795                   does not trade
(STANCZES) 648                    does not trade
(STANCZES) 649        receives (PIOTR1) 344          and sends to (RUTRA1992) 956
(STANCZES) 650                    does not trade
(STANCZES) 651        receives (BLEBOK) 398          and sends to (CHAOS1981OL) 515
(STANCZES) 652                    does not trade
(STANCZES) 653                    does not trade
(STANCZES) 654        receives (ROGATUSIEK) 506      and sends to (CZIKENPREDATOR) 126
(STANCZES) 655                    does not trade
(STANCZES) 656                    does not trade
(STANCZES) 657                    does not trade
(STANCZES) 658                    does not trade
(STANCZES) 659        receives (ORZEH) 102           and sends to (PICIEK1990) 962
(STANCZES) 660        receives (GINET1) 639          and sends to (GARG) 942
(STANCZES) 661        receives (GINET1) 32           and sends to (MAT_EYO) 781
(STANCZES) 747                    does not trade
(STANCZES) 748        receives (KLOS_X) 1046         and sends to (JUSTRAG) 304
(STANCZES) 749                    does not trade
(STASZEK) 822                     does not trade
(STASZEK) 823                     does not trade
(STASZEK) 824                     does not trade
(STASZEK) 825                     does not trade
(STASZEK) 827                     does not trade
(STASZEK) 832                     does not trade
(STASZEK) 837         receives (_AIS_) 620           and sends to (VDER) 854
(STASZEK) 838                     does not trade
(STASZEK) 840                     does not trade
(STASZEK) 843                     does not trade
(STRASZNY) 983        receives (MOOCKER) 142         and sends to (MTNW) 73
(STRASZNY) 985                    does not trade
(STRASZNY) 993                    does not trade
(STRASZNY) 995                    does not trade
(STRASZNY) 998                    does not trade
(SUCHAR) 65                       does not trade
(SUL12) 379           receives (COEN098) 274         and sends to (ZIBIST) 711
(SUL12) 380           receives (MEFIUG) 321          and sends to (WKNOTT) 354
(SUL12) 381                       does not trade
(SYDONIAA) 1                      does not trade
(SYDONIAA) 17                     does not trade
(SYDONIAA) 2                      does not trade
(SYDONIAA) 26                     does not trade
(SYDONIAA) 3                      does not trade
(SYDONIAA) 375                    does not trade
(SYDONIAA) 6          receives (GAMBIT_GGK) 904      and sends to (AMACHNO) 71
(SYDONIAA) 635        receives (JACEKBARBER) 975     and sends to (RENEG8D) 533
(SZEPCZ) 909                      does not trade
(TAMARAPL) 137                    does not trade
(TAMARAPL) 395                    does not trade
(TAMARAPL) 396        receives (KROLIS) 891          and sends to (SPRYSIALDO) 553
(TEHANU) 179                      does not trade
(TEHANU) 180                      does not trade
(TEHANU) 181          receives (JUSTRAG) 306         and sends to (GABENS29) 49
(TEHANU) 183          receives (CAMEROON) 897        and sends to (NILDOPL) 200
(TEHANU) 417                      does not trade
(TENCZ) 1111                      does not trade
(TENCZ) 1113                      does not trade
(TENCZ) 743                       does not trade
(TENCZ) 744                       does not trade
(TENCZ) 745           receives (OGMIOS1981) 545      and sends to (DRAAKHAN) 415
(TENCZ) 746                       does not trade
(THEONE) 867                      does not trade
(THEONE) 868                      does not trade
(THEONE) 869                      does not trade
(THEONE) 872                      does not trade
(THEONE) 875                      does not trade
(THEONE) 877                      does not trade
(THEONE) 879                      does not trade
(THEONE) 883                      does not trade
(THEONE) 888          receives (MTIBOL) 95           and sends to (KROLIS) 874
(TIKTUK) 571                      does not trade
(TIKTUK) 572                      does not trade
(TIKTUK) 573                      does not trade
(TIKTUK) 574                      does not trade
(TIKTUK) 575                      does not trade
(TIKTUK) 576                      does not trade
(TOMAX22) 740         receives (BARTP) 80            and sends to (SIPIO) 776
(TOMAX22) 742                     does not trade
(TOMZAQ) 525                      does not trade
(VASVASVAS) 945                   does not trade
(VASVASVAS) 948                   does not trade
(VASVASVAS) 949       receives (SOPART PL) 721       and sends to (CYBAS) 310
(VASVASVAS) 952                   does not trade
(VASVASVAS) 953                   does not trade
(VDER) 853                        does not trade
(VDER) 854            receives (STASZEK) 837         and sends to (COHLERC1) 736
(VENOSTHE) 760                    does not trade
(VENOSTHE) 761        receives (CHAOS1981OL) 510     and sends to (ANDYMEN) 128
(VENOSTHE) 762                    does not trade
(VENOSTHE) 763        receives (SARKIEL) 598         and sends to (MILEV) 878
(WAADIMCH) 537                    does not trade
(WAADIMCH) 540        receives (PAWELACB) 808        and sends to (PAWELACB) 808
(WAADIMCH) 541                    does not trade
(WAMPIK) 784                      does not trade
(WAMPIK) 785                      does not trade
(WAMPIK) 786                      does not trade
(WAMPIK) 787                      does not trade
(WAMPIK) 789          receives (SIREVAN) 107         and sends to (RYSKA) 759
(WAMPIK) 790          receives (PANTERA_SNIEZNA) 409 and sends to (PIECHU) 214
(WAMPIK) 791                      does not trade
(WAPNIAK) 530                     does not trade
(WAPNIAK) 531                     does not trade
(WAPNIAK) 532                     does not trade
(WAPNIAK) 859                     does not trade
(WARHIR) 559                      does not trade
(WARHIR) 560                      does not trade
(WARHIR) 561          receives (R4VAL) 1127          and sends to (KATERINAILS) 20
(WAZKA) 124           receives (ANOPTICHTYS) 402     and sends to (IRONHAWK) 69
(WILCZELYKO) 131                  does not trade
(WILCZELYKO) 133                  does not trade
(WILCZELYKO) 134      receives (PAWELACB) 807        and sends to (CHAOS1981OL) 510
(WILCZELYKO) 135                  does not trade
(WILCZELYKO) 136                  does not trade
(WKNOTT) 353          receives (WLSB) 951            and sends to (EXDEATH44) 557
(WKNOTT) 354          receives (SUL12) 380           and sends to (ELBRUUS) 478
(WKNOTT) 355          receives (GABENS29) 49         and sends to (MEFIKENU) 446
(WKNOTT) 356                      does not trade
(WKNOTT) 357          receives (MEFIUG) 332          and sends to (PANCOR) 1120
(WKNOTT) 358                      does not trade
(WLSB) 951            receives (SCARLETMARA) 441     and sends to (WKNOTT) 353
(WOOL_F) 1016         receives (BLEBOK) 405          and sends to (GINET1) 638
(WOOL_F) 1023                     does not trade
(WOOL_F) 969                      does not trade
(WOOL_F) 976          receives (NIKOSIS) 690         and sends to (BARTP) 80
(WOOL_F) 979                      does not trade
(WOOL_F) 986                      does not trade
(WOOL_F) 997                      does not trade
(WUJEK2114) 906                   does not trade
(WUJEK2114) 908                   does not trade
(WUJEK2114) 910                   does not trade
(WUJEK2114) 931       receives (STALKEROI) 793       and sends to (PICIEK1990) 961
(WUJEK2114) 940       receives (LOTHEG) 171          and sends to (COHLERC1) 739
(WUJEK2114) 944                   does not trade
(YOSEK) 369                       does not trade
(ZBAJSZEK) 766                    does not trade
(ZBAJSZEK) 767                    does not trade
(ZBAJSZEK) 768        receives (_SLY_) 946           and sends to (SIREVAN) 103
(ZBAJSZEK) 769                    does not trade
(ZBAJSZEK) 770                    does not trade
(ZBAJSZEK) 771        receives (COHLERC1) 736        and sends to (KASZKIET) 143
(ZBAJSZEK) 772        receives (MEFIUG) 329          and sends to (MIZIO) 1130
(ZBAJSZEK) 773                    does not trade
(ZBAJSZEK) 774                    does not trade
(ZBAJSZEK) 775        receives (JUSTRAG) 304         and sends to (CZIKENPREDATOR) 127
(ZERO_1627) 370                   does not trade
(ZERO_1627) 371                   does not trade
(ZERO_1627) 372                   does not trade
(ZERO_1627) 373                   does not trade
(ZIBIST) 707                      does not trade
(ZIBIST) 709                      does not trade
(ZIBIST) 711          receives (SUL12) 379           and sends to (JACEKBARBER) 981
(ZIBIST) 713                      does not trade
(ZIBIST) 717          receives (MAJKOS) 447          and sends to (PIECHU) 218
(ZIBIST) 720                      does not trade
(_AIS_) 618                       does not trade
(_AIS_) 620           receives (FAKIRR) 733          and sends to (STASZEK) 837
(_AIS_) 624                       does not trade
(_AIS_) 625           receives (RAFALOLEK) 246       and sends to (MALKOLMX) 678
(_AIS_) 628                       does not trade
(_AIS_) 629           receives (SPRYSIALDO) 550      and sends to (NARO) 62
(_AIS_) 631                       does not trade
(_AIS_) 632                       does not trade
(_AIS_) 633                       does not trade
(_AIS_) 634                       does not trade
(_AIS_) 636           receives (OSTRY) 1074          and sends to (ELBRUUS) 480
(_AIS_) 866                       does not trade
(_SLY_) 946           receives (SIREVAN) 103         and sends to (ZBAJSZEK) 768
(_SLY_) 950                       does not trade

Num trades  = 274 of 1078 items (25,4%)
Total cost  = 835 (avg 3,05)
Num groups  = 7
Group sizes = 208 30 14 10 7 3 2
Sum squares = 44522
