TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 5c9b54cb33ab9736ee4568f2ee5e2a
ERRORS:
**** Item %AGRICOLA for user (CHRUSZCZOW) is repeated in want list for 91.
**** Item %HANNIBAL__ROME_VS__CARTHAGE for user (GIGI) is repeated in want list for 613.
**** Item %ROLLFTG for user (PIECHU) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 243.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 244.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 245.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 246.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 247.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 248.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 249.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 250.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 251.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 252.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 253.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 254.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 256.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 257.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 258.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 260.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 261.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 262.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 263.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 264.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 265.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 266.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 267.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 268.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 269.
**** Item %SID_MEIER_S_CIVILIZATION_A_NEW_DAWN for user (WODA) is repeated in want list for 358.
**** Item %SID_MEIER_S_CIVILIZATION_A_NEW_DAWN for user (WODA) is repeated in want list for 359.
**** Item %SID_MEIER_S_CIVILIZATION_A_NEW_DAWN for user (WODA) is repeated in want list for 360.
**** Item %THE_VOYAGES_OF_MARCO_POLO for user (JENNY70) is repeated in want list for 573.
**** Item %THE_WITCHER_ADVENTURE_GAME for user (JENNY70) is repeated in want list for 573.
**** Item %TRIASSIC_TERROR for user (JENNY70) is repeated in want list for 573.
**** Item %VILLAGESOFVALERIA for user (BARTP) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 193.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 194.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 195.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 196.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 197.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 198.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 200.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 371.
**** Item 250 has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Unknown item %KINGSBURG__SECOND_EDITION for user (ADALBERT) (1 occurrence)
**** Unknown item 1038 (1 occurrence)
**** Unknown item 1058 (1 occurrence)
**** Unknown item 1069 (1 occurrence)
**** Unknown item 11 (1 occurrence)
**** Unknown item 1111 (1 occurrence)
**** Unknown item 1120 (1 occurrence)
**** Unknown item 1142 (1 occurrence)
**** Unknown item 1196 (1 occurrence)
**** Unknown item 1197 (1 occurrence)
**** Unknown item 1234 (1 occurrence)
**** Unknown item 1257 (1 occurrence)
**** Unknown item 1265 (1 occurrence)
**** Unknown item 1290 (1 occurrence)
**** Unknown item 1302 (1 occurrence)
**** Unknown item 1346 (1 occurrence)
**** Unknown item 1387 (1 occurrence)
**** Unknown item 1388 (1 occurrence)
**** Unknown item 1389 (1 occurrence)
**** Unknown item 1432 (1 occurrence)
**** Unknown item 1507 (1 occurrence)
**** Unknown item 1517 (1 occurrence)
**** Unknown item 1547 (1 occurrence)
**** Unknown item 1548 (1 occurrence)
**** Unknown item 1563 (1 occurrence)
**** Unknown item 1573 (1 occurrence)
**** Unknown item 2849 (1 occurrence)
**** Unknown item 324214 (1 occurrence)
**** Unknown item 541 (2 occurrences)
**** Unknown item 542 (2 occurrences)
**** Unknown item 610 (13 occurrences)
**** Unknown item 723 (1 occurrence)
**** Unknown item 724 (1 occurrence)
**** Unknown item 725 (9 occurrences)
**** Unknown item 726 (1 occurrence)
**** Unknown item 729 (26 occurrences)
**** Unknown item 731 (13 occurrences)
**** Unknown item 732 (7 occurrences)
**** Unknown item 733 (1 occurrence)
**** Unknown item 920 (44 occurrences)
**** Unknown item 922 (38 occurrences)
**** Unknown item 926 (17 occurrences)

TRADE LOOPS (206 total trades):

(_AIS_) 825             receives (KRIONAH) 642
(OMAM1234) 629                      does not trade
(OMAM1234) 630                      does not trade
(OMAM1234) 631                      does not trade
(OMAM1234) 632          receives (DONKICHOTE87) 974      and sends to (NEKKORU) 47
(OMAM1234) 633          receives (COIN22) 544            and sends to (JONEK) 721
(OSTRY) 1005            receives (KLOS_X) 525            and sends to (SANDY86) 600
(OSTRY) 1006                        does not trade
(OSTRY) 1007                        does not trade
(OSTRY) 1008                        does not trade
(OSTRY) 1009                        does not trade
(OSTRY) 1010                        does not trade
(OSTRY) 1011                        does not trade
(OSTRY) 1012                        does not trade
(OSTRY) 1013                        does not trade
(OSTRY) 1014                        does not trade
(OSTRY) 1015                        does not trade
(OSTRY) 1016                        does not trade
(OSTRY) 1017                        does not trade
(OSTRY) 1018                        does not trade
(OSTRY) 1019                        does not trade
(OSTRY) 1020                        does not trade
(OSTRY) 1021                        does not trade
(OSTRY) 1023            receives (RAZUL) 329             and sends to (WHITE_BABIRUSA) 556
(OSTRY) 1026                        does not trade
(OSTRY) 1030                        does not trade
(PAWELACB) 703                      does not trade
(PAWELACB) 704                      does not trade
(PAWELACB) 705                      does not trade
(PAWELACB) 747                      does not trade
(PAWELACB) 749                      does not trade
(PAWELACB) 750                      does not trade
(PAWELACB) 751          receives (BLACKSLACK) 179        and sends to (SIPIO) 599
(PAWELACB) 752          receives (PIECHU) 253            and sends to (RAZUL) 329
(PAWELACB) 753                      does not trade
(PAWELACB) 754                      does not trade
(PERO PAMBARASCO) 746   receives (GEKOPL) 462            and sends to (VELJAREK) 392
(PIECHOTAK) 203                     does not trade
(PIECHU) 237                        does not trade
(PIECHU) 238            receives (CORABB) 442            and sends to (JENNY70) 577
(PIECHU) 239                        does not trade
(PIECHU) 240                        does not trade
(PIECHU) 241                        does not trade
(PIECHU) 242                        does not trade
(PIECHU) 243                        does not trade
(PIECHU) 244                        does not trade
(PIECHU) 245                        does not trade
(PIECHU) 246                        does not trade
(PIECHU) 247                        does not trade
(PIECHU) 248                        does not trade
(PIECHU) 249            receives (TUMINURE) 811          and sends to (KASZKIET) 223
(PIECHU) 250                        does not trade
(PIECHU) 251                        does not trade
(PIECHU) 252                        does not trade
(PIECHU) 253            receives (RAZUL) 327             and sends to (PAWELACB) 752
(PIECHU) 254            receives (BARTP) 976             and sends to (JENNY70) 578
(PIECHU) 255                        does not trade
(PIECHU) 256                        does not trade
(PIECHU) 257                        does not trade
(PIECHU) 258                        does not trade
(PIECHU) 259                        does not trade
(PIECHU) 260            receives (BLACKSLACK) 186        and sends to (JASKIER) 65
(PIECHU) 261                        does not trade
(PIECHU) 262                        does not trade
(PIECHU) 263                        does not trade
(PIECHU) 264            receives (YUZJANNOWITZ) 141      and sends to (CACTUSSE) 95
(PIECHU) 265                        does not trade
(PIECHU) 266                        does not trade
(PIECHU) 267                        does not trade
(PIECHU) 268                        does not trade
(PIECHU) 269                        does not trade
(PIODAG) 409                        does not trade
(PIODAG) 410                        does not trade
(PIOTREKBIER) 709                   does not trade
(PIOTREKBIER) 710                   does not trade
(PIOTREKBIER) 802                   does not trade
(POKET) 870                         does not trade
(POKET) 872                         does not trade
(POKET) 873                         does not trade
(POKET) 875             receives (GRZECHOO104) 918       and sends to (DAWIATA) 947
(PROBBI) 864            receives (BOGUSZO) 813           and sends to (GRZECHOO104) 916
(PROBBI) 871            receives (NEKKORU) 47            and sends to (NEWGATE) 236
(PROBBI) 874                        does not trade
(PTKW) 398                          does not trade
(PTKW) 399              receives (KASZKIET) 223          and sends to (SASQUACH77) 868
(PTKW) 400                          does not trade
(PTKW) 401                          does not trade
(PTKW) 403                          does not trade
(PTKW) 408                          does not trade
(PTKW) 411                          does not trade
(PTKW) 412                          does not trade
(PTKW) 413                          does not trade
(PTKW) 414                          does not trade
(PTKW) 415                          does not trade
(PTKW) 416                          does not trade
(PTKW) 419                          does not trade
(PTKW) 420                          does not trade
(PTKW) 421                          does not trade
(PTKW) 422                          does not trade
(PTKW) 423                          does not trade
(PTKW) 424                          does not trade
(PTKW) 425                          does not trade
(PTKW) 426                          does not trade
(PTKW) 427                          does not trade
(PTKW) 428                          does not trade
(QBALDUS1) 402                      does not trade
(QBALDUS1) 404                      does not trade
(QBALDUS1) 405          receives (LUBEL) 340             and sends to (GEKOPL) 462
(QBALDUS1) 406                      does not trade
(QBALDUS1) 407                      does not trade
(QRZY88) 67                         does not trade
(RADZISZZ) 230                      does not trade
(RADZISZZ) 232                      does not trade
(RAZUL) 292                         does not trade
(RAZUL) 293             receives (SANDY86) 600           and sends to (GAMBIT_GGK) 900
(RAZUL) 294                         does not trade
(RAZUL) 295                         does not trade
(RAZUL) 296                         does not trade
(RAZUL) 297                         does not trade
(RAZUL) 298                         does not trade
(RAZUL) 299             receives (CRSUNIK) 143           and sends to (HARUN) 621
(RAZUL) 300                         does not trade
(RAZUL) 301                         does not trade
(RAZUL) 302                         does not trade
(RAZUL) 303                         does not trade
(RAZUL) 304                         does not trade
(RAZUL) 305                         does not trade
(RAZUL) 306             receives (GAMBIT_GGK) 900        and sends to (JACEK_PL) 369
(RAZUL) 307                         does not trade
(RAZUL) 308                         does not trade
(RAZUL) 309                         does not trade
(RAZUL) 310                         does not trade
(RAZUL) 311                         does not trade
(RAZUL) 312                         does not trade
(RAZUL) 313                         does not trade
(RAZUL) 314                         does not trade
(RAZUL) 315                         does not trade
(RAZUL) 316             receives (SIPIO) 589             and sends to (KLOS_X) 533
(RAZUL) 317                         does not trade
(RAZUL) 318                         does not trade
(RAZUL) 319             receives (SYDONIAA) 9            and sends to (CORABB) 439
(RAZUL) 320                         does not trade
(RAZUL) 321                         does not trade
(RAZUL) 322                         does not trade
(RAZUL) 323                         does not trade
(RAZUL) 324                         does not trade
(RAZUL) 325                         does not trade
(RAZUL) 326             receives (INDAREK) 910           and sends to (GIGI) 613
(RAZUL) 327             receives (MNOWACZY) 353          and sends to (PIECHU) 253
(RAZUL) 328                         does not trade
(RAZUL) 329             receives (PAWELACB) 752          and sends to (OSTRY) 1023
(RAZUL) 330                         does not trade
(RAZUL) 332             receives (BADYL) 583             and sends to (SYDONIAA) 483
(RAZUL) 335                         does not trade
(RAZUL) 337                         does not trade
(RAZUL) 370                         does not trade
(RAZUL) 667                         does not trade
(RAZUL) 668                         does not trade
(RAZUL) 669                         does not trade
(RAZUL) 670                         does not trade
(RAZUL) 671                         does not trade
(RAZUL) 672             receives (KAMIL27) 169           and sends to (MALEKITH_86) 766
(RAZUL) 673                         does not trade
(RAZUL) 674                         does not trade
(RAZUL) 675                         does not trade
(RAZUL) 676                         does not trade
(RAZUL) 677                         does not trade
(RAZUL) 678                         does not trade
(RAZUL) 679                         does not trade
(RAZUL) 680             receives (INDAREK) 917           and sends to (KLOS_X) 525
(RAZUL) 681             receives (RZEZIO) 289            and sends to (APIEJH) 736
(ROBOI250) 684                      does not trade
(ROBOI250) 685                      does not trade
(ROBOI250) 686                      does not trade
(ROBOI250) 687                      does not trade
(ROBOI250) 688                      does not trade
(ROBOI250) 689                      does not trade
(ROBOI250) 690                      does not trade
(ROXAS1231) 756                     does not trade
(ROXAS1231) 757         receives (TUMINURE) 809          and sends to (MATGIE) 343
(ROXAS1231) 758                     does not trade
(ROXAS1231) 759         receives (NEWGATE) 235           and sends to (CHRUSZCZOW) 91
(ROXAS1231) 760                     does not trade
(ROXAS1231) 761                     does not trade
(RUSS) 786                          does not trade
(RUSS) 787                          does not trade
(RUSS) 788                          does not trade
(RUSS) 789                          does not trade
(RUSS) 790                          does not trade
(RUSS) 791                          does not trade
(RUSS) 792                          does not trade
(RZEZIO) 287                        does not trade
(RZEZIO) 288            receives (MALEKITH_86) 766       and sends to (LUBEL) 333
(RZEZIO) 289            receives (CHRUSZCZOW) 91         and sends to (RAZUL) 681
(SANDY86) 600           receives (OSTRY) 1005            and sends to (RAZUL) 293
(SANDY86) 601                       does not trade
(SANDY86) 602                       does not trade
(SANDY86) 603                       does not trade
(SANDY86) 604                       does not trade
(SANDY86) 605                       does not trade
(SASQUACH77) 846                    does not trade
(SASQUACH77) 855                    does not trade
(SASQUACH77) 856                    does not trade
(SASQUACH77) 863        receives (JONEK) 721             and sends to (BOBULE) 50
(SASQUACH77) 868        receives (PTKW) 399              and sends to (SIPIO) 598
(SASQUACH77) 895                    does not trade
(SHADOWA) 865                       does not trade
(SHADOWA) 866                       does not trade
(SHADOWA) 867                       does not trade
(SHADOWA) 869                       does not trade
(SIPIO) 584                         does not trade
(SIPIO) 585                         does not trade
(SIPIO) 586                         does not trade
(SIPIO) 587                         does not trade
(SIPIO) 588                         does not trade
(SIPIO) 589             receives (WAPNIAK) 465           and sends to (RAZUL) 316
(SIPIO) 590                         does not trade
(SIPIO) 591             receives (SYDONIAA) 5            and sends to (8JANEK8) 836
(SIPIO) 592                         does not trade
(SIPIO) 593                         does not trade
(SIPIO) 594                         does not trade
(SIPIO) 595                         does not trade
(SIPIO) 596                         does not trade
(SIPIO) 597                         does not trade
(SIPIO) 598             receives (SASQUACH77) 868        and sends to (CACTUSSE) 112
(SIPIO) 599             receives (PAWELACB) 751          and sends to (CORABB) 442
(SIREVAN) 624                       does not trade
(SIREVAN) 625                       does not trade
(SIREVAN) 626                       does not trade
(SIREVAN) 627                       does not trade
(SIREVAN) 628                       does not trade
(STASZEK) 977                       does not trade
(STASZEK) 978                       does not trade
(STASZEK) 979                       does not trade
(STASZEK) 980                       does not trade
(STASZEK) 981                       does not trade
(STASZEK) 982                       does not trade
(STASZEK) 983                       does not trade
(STRASZNY) 652                      does not trade
(STRASZNY) 653          receives (APIEJH) 736            and sends to (BOGUSZO) 813
(STRASZNY) 654                      does not trade
(STRASZNY) 655                      does not trade
(STRASZNY) 656                      does not trade
(SYDONIAA) 1            receives (JOANNA_KOZLOWSKA6) 616 and sends to (LUBEL) 339
(SYDONIAA) 10                       does not trade
(SYDONIAA) 2                        does not trade
(SYDONIAA) 3                        does not trade
(SYDONIAA) 4                        does not trade
(SYDONIAA) 483          receives (RAZUL) 332             and sends to (JOANNA_KOZLOWSKA6) 616
(SYDONIAA) 5            receives (8JANEK8) 842           and sends to (SIPIO) 591
(SYDONIAA) 6            receives (VELJAREK) 383          and sends to (EREM) 640
(SYDONIAA) 7                        does not trade
(SYDONIAA) 8                        does not trade
(SYDONIAA) 9            receives (KASZKIET) 231          and sends to (RAZUL) 319
(THINSPOON) 649                     does not trade
(THINSPOON) 650                     does not trade
(THINSPOON) 651                     does not trade
(THINSPOON) 740                     does not trade
(THINSPOON) 744                     does not trade
(THINSPOON) 745                     does not trade
(TIKTUK) 878            receives (LUKASZ90) 912          and sends to (KRISSOS) 453
(TIKTUK) 879                        does not trade
(TIKTUK) 887                        does not trade
(TIKTUK) 889                        does not trade
(TIKTUK) 890                        does not trade
(TIKTUK) 893                        does not trade
(TOMB66) 843                        does not trade
(TOMB66) 844            receives (KONRADSTPN) 944        and sends to (CRSUNIK) 142
(TOMB66) 845                        does not trade
(TOMB66) 847                        does not trade
(TOMB66) 849                        does not trade
(TOMB66) 852                        does not trade
(TOMB66) 854                        does not trade
(TOMB66) 858                        does not trade
(TOMB66) 861                        does not trade
(TOMB66) 862                        does not trade
(TRNKS_) 1031                       does not trade
(TRNKS_) 1032                       does not trade
(TRNKS_) 1033                       does not trade
(TUMINURE) 809          receives (MILEV) 989             and sends to (ROXAS1231) 757
(TUMINURE) 810                      does not trade
(TUMINURE) 811          receives (BALIS) 885             and sends to (PIECHU) 249
(TUMINURE) 812                      does not trade
(TUREK) 270                         does not trade
(VELJAREK) 382                      does not trade
(VELJAREK) 383          receives (KASZKIET) 215          and sends to (SYDONIAA) 6
(VELJAREK) 384                      does not trade
(VELJAREK) 385                      does not trade
(VELJAREK) 386                      does not trade
(VELJAREK) 387                      does not trade
(VELJAREK) 388                      does not trade
(VELJAREK) 389                      does not trade
(VELJAREK) 390                      does not trade
(VELJAREK) 391                      does not trade
(VELJAREK) 392          receives (PERO PAMBARASCO) 746   and sends to (KASZKIET) 218
(VELJAREK) 793                      does not trade
(WALTERF) 417                       does not trade
(WALTERF) 418                       does not trade
(WAMPIK) 494                        does not trade
(WAMPIK) 498                        does not trade
(WAMPIK) 501            receives (EREM) 637              and sends to (GRZECHOO104) 918
(WAMPIK) 504                        does not trade
(WAMPIK) 510                        does not trade
(WAPNIAK) 465           receives (CYBEROWCA) 225         and sends to (SIPIO) 589
(WAPNIAK) 466           receives (KRISSOS) 454           and sends to (LHAPKA) 393
(WAPNIAK) 467                       does not trade
(WAPNIAK) 468           receives (BARTI18) 950           and sends to (NEWGATE) 235
(WAPNIAK) 469           receives (BARTI18) 480           and sends to (ADALBERT) 991
(WAPNIAK) 486           receives (KASZKIET) 217          and sends to (MICZI92) 291
(WHITE_BABIRUSA) 548                does not trade
(WHITE_BABIRUSA) 549                does not trade
(WHITE_BABIRUSA) 552    receives (GRUNWALD) 58           and sends to (CYBEROWCA) 224
(WHITE_BABIRUSA) 554                does not trade
(WHITE_BABIRUSA) 556    receives (OSTRY) 1023            and sends to (AMANDOR) 84
(WILCZELYKO) 271                    does not trade
(WILCZELYKO) 272                    does not trade
(WILCZELYKO) 273                    does not trade
(WODA) 358                          does not trade
(WODA) 359                          does not trade
(WODA) 360                          does not trade
(WODA) 361              receives (ANOPTICHTYS) 25        and sends to (COIN22) 546
(WUJEK2114) 850                     does not trade
(WUJEK2114) 851                     does not trade
(WUJEK2114) 853         receives (MICZI92) 291           and sends to (BLACKSLACK) 186
(WUJEK2114) 857                     does not trade
(WUJEK2114) 859                     does not trade
(WUJEK2114) 860                     does not trade
(YANOO) 274                         does not trade
(YANOO) 682                         does not trade
(YANOO) 683                         does not trade
(YUZJANNOWITZ) 141      receives (LKOPER) 362            and sends to (PIECHU) 264
(ZBAJSZEK) 713                      does not trade
(ZBAJSZEK) 714                      does not trade
(ZBAJSZEK) 715                      does not trade
(ZBAJSZEK) 716                      does not trade
(ZBAJSZEK) 717                      does not trade
(ZBAJSZEK) 718                      does not trade
(ZERO_1627) 79                      does not trade
(ZERO_1627) 81          receives (FIZOLOF) 915           and sends to (B3R53RK3R) 748
(ZERO_1627) 82                      does not trade
(ZERO_1627) 83                      does not trade
(_AIS_) 815                         does not trade
(_AIS_) 816                         does not trade
(_AIS_) 817                         does not trade
(_AIS_) 818                         does not trade
(_AIS_) 820                         does not trade
(_AIS_) 821                         does not trade
(_AIS_) 822                         does not trade
(_AIS_) 823                         does not trade
(_AIS_) 824                         does not trade
(_AIS_) 825             receives (KRIONAH) 642           and sends to (KASZKIET) 493
(_AIS_) 826                         does not trade

Num trades  = 206 of 1009 items (20,4%)
Total cost  = 621 (avg 3,01)
Num groups  = 4
Group sizes = 166 30 7 3
Sum squares = 28514
