TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: ac355fec980c43814678863627de8c9
ERRORS:
**** Item %CACAO for user (MOCKINGBIRD5433) is repeated in want list for 464.
**** Item %CENTURY__EASTERN_WONDERS for user (JINGOWAWA) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %CENTURY__EASTERN_WONDERS for user (JINGOWAWA) is repeated in want list for 802.
**** Item %CLOCKWORKWARS for user (KARRIARI) is repeated in want list for 705.
**** Item %COLTEXPRESS for user (OMAM1234) is repeated in want list for 245.
**** Item %COLTEXPRESS for user (OMAM1234) is repeated in want list for 247.
**** Item %FIVETRIBES for user (CORQAN) is repeated in want list for 187.
**** Item %THROUGH_THE_AGES_A_NEW_STORY_OF_CIVILIZATION for user (TENCZ) is repeated in want list for 591.
**** Item %T_I_M_E_STORIES for user (BROM69) is repeated in want list for 336.
**** Item 169 is repeated in want list for 915.
**** Item 169 is repeated in want list for 916.
**** Item 169 is repeated in want list for 917.
**** Item 169 is repeated in want list for 937.
**** Item 169 is repeated in want list for 951.
**** Item 963 contains item 936 sender from the same user ((POKET))
**** Item 973 is repeated in want list for 245.
**** Unknown item %CENTURY_A_NEW_WORLD for user (MEFIUG) (6 occurrences)
**** Unknown item %DECKSCAPE_TEST_TIME_DECKSCAPE_THE_FATE_OF_LONDON for user (ADMI99) (1 occurrence)
**** Unknown item %KING_OF_TOKYO_KING_OF_TOKYO_POWER_UP_KING_OF_TOKYO_NEW_YORK_MONSTER_PACK_CTHULHU_KING_OF_TOKYO_NEW_YORK_MONSTER_PACK_KING_KONG for user (MEFIUG) (5 occurrences)
**** Unknown item 306 (2 occurrences)
**** Unknown item 412 (11 occurrences)
**** Unknown item 480 (6 occurrences)
**** Unknown item 484 (11 occurrences)
**** Unknown item 708 (12 occurrences)
**** Unknown item 907 (5 occurrences)
**** Unknown item 909 (12 occurrences)
**** Unknown item 910 (1 occurrence)
**** Unknown item 912 (2 occurrences)
**** Unknown item 913 (2 occurrences)
**** Unknown item 945 (21 occurrences)
**** Unknown item 946 (13 occurrences)

TRADE LOOPS (209 total trades):

(_AIS_) 884            receives (WOTHAN) 137
(SIPIO) 643                        does not trade
(SIPIO) 644                        does not trade
(SIPIO) 645                        does not trade
(SIPIO) 646                        does not trade
(SIREVAN) 69           receives (ADMI99) 265           and sends to (B3R53RK3R) 762
(SIREVAN) 70                       does not trade
(SIREVAN) 71           receives (RAZUL) 227            and sends to (MALEKITH_86) 25
(SIREVAN) 72                       does not trade
(SIREVAN) 73                       does not trade
(SPRYSIALDO) 111                   does not trade
(SPRYSIALDO) 113                   does not trade
(STASZEK) 1012                     does not trade
(STASZEK) 1014                     does not trade
(STASZEK) 1015                     does not trade
(STASZEK) 1016                     does not trade
(STASZEK) 1017         receives (SIENJASIEK) 904       and sends to (KDSZ) 59
(SWONICK) 310                      does not trade
(SWONICK) 311                      does not trade
(SWONICK) 312          receives (MEFIUG) 429           and sends to (KONSU) 869
(SWONICK) 313                      does not trade
(SWONICK) 314                      does not trade
(SWONICK) 315          receives (KASZKIET) 403         and sends to (RAZUL) 237
(SWONICK) 485          receives (PTKW) 64              and sends to (SIENJASIEK) 897
(SYDONIAA) 950                     does not trade
(SYDONIAA) 952                     does not trade
(SYDONIAA) 953                     does not trade
(SYDONIAA) 954                     does not trade
(SYDONIAA) 955                     does not trade
(SYDONIAA) 956                     does not trade
(SYDONIAA) 957                     does not trade
(SYDONIAA) 958                     does not trade
(SYDONIAA) 959                     does not trade
(SZLESZYM) 65          receives (RAZUL) 89             and sends to (MALEKITH_86) 26
(SZLESZYM) 66                      does not trade
(SZLESZYM) 68                      does not trade
(TENCZ) 591            receives (CORTUMPL) 488         and sends to (KDSZ) 56
(TENCZ) 676                        does not trade
(TOMZAQ) 513           receives (CORQAN) 361           and sends to (CORQAN) 361
(TOMZAQ) 514           receives (MINNENMIN) 261        and sends to (CORABB) 710
(TOMZAQ) 515           receives (GOLONKO) 322          and sends to (PIECHU) 164
(TOMZAQ) 516                       does not trade
(TOMZAQ) 517                       does not trade
(TUMINURE) 1000                    does not trade
(TUMINURE) 1001        receives (BARTP) 556            and sends to (ARMIGER) 80
(TUMINURE) 1002                    does not trade
(TUMINURE) 1003                    does not trade
(TUMINURE) 1004                    does not trade
(TUMINURE) 1005        receives (MALKOLMX) 852         and sends to (MALKOLMX) 854
(TUMINURE) 999                     does not trade
(ULUSIEK) 129          receives (RAZUL) 228            and sends to (KRIONAH) 351
(ULUSIEK) 130                      does not trade
(VDER) 617                         does not trade
(VDER) 618                         does not trade
(VDER) 619             receives (KRIONAH) 356          and sends to (PIOTR1) 276
(VDER) 620                         does not trade
(VDER) 621                         does not trade
(VORONWE) 474                      does not trade
(VORONWE) 475                      does not trade
(VORONWE) 476                      does not trade
(VORONWE) 477                      does not trade
(VORONWE) 478                      does not trade
(VORONWE) 479          receives (SIPIO) 632            and sends to (JENNY70) 845
(WAPNIAK) 316                      does not trade
(WAPNIAK) 317          receives (MALEKITH_86) 29       and sends to (RAZUL) 1011
(WAPNIAK) 318                      does not trade
(WAPNIAK) 319                      does not trade
(WAPNIAK) 326                      does not trade
(WAPNIAK) 328                      does not trade
(WAPNIAK) 329                      does not trade
(WAPNIAK) 330          receives (MEFIUG) 421           and sends to (CORTUMPL) 490
(WAPNIAK) 331                      does not trade
(WAPNIAK) 360                      does not trade
(WEGA68) 948                       does not trade
(WEGA68) 951                       does not trade
(WILCZELYKO) 448                   does not trade
(WILCZELYKO) 449                   does not trade
(WILCZELYKO) 450                   does not trade
(WILCZELYKO) 451       receives (LOMAX1983) 54         and sends to (MOCKINGBIRD5433) 460
(WILCZELYKO) 452                   does not trade
(WILCZELYKO) 590                   does not trade
(WOTHAN) 137           receives (MALEKITH_86) 33       and sends to (_AIS_) 884
(WOTHAN) 486                       does not trade
(ZBAJSZEK) 592                     does not trade
(ZBAJSZEK) 593                     does not trade
(ZBAJSZEK) 594                     does not trade
(ZBAJSZEK) 595                     does not trade
(ZBAJSZEK) 596         receives (CZUJNYOBSERWATOR) 344 and sends to (MICZI92) 183
(ZBAJSZEK) 597                     does not trade
(ZBAJSZEK) 598         receives (MICZI92) 183          and sends to (RAZUL) 228
(ZBAJSZEK) 599                     does not trade
(ZBAJSZEK) 600                     does not trade
(ZBAJSZEK) 601         receives (CORTUMPL) 493         and sends to (GINET1) 772
(ZBAJSZEK) 602                     does not trade
(ZBAJSZEK) 603                     does not trade
(ZBAJSZEK) 604         receives (MELUSINA) 969         and sends to (KLOS_X) 376
(ZBAJSZEK) 605                     does not trade
(ZERO_1627) 270                    does not trade
(ZERO_1627) 271        receives (KDSZ) 60              and sends to (BROM69) 336
(ZERO_1627) 272                    does not trade
(ZERO_1627) 273                    does not trade
(ZERO_1627) 410                    does not trade
(_AIS_) 880                        does not trade
(_AIS_) 881                        does not trade
(_AIS_) 882                        does not trade
(_AIS_) 883                        does not trade
(_AIS_) 884            receives (WOTHAN) 137           and sends to (FIZOLOF) 75
(_AIS_) 885                        does not trade
(_SLY_) 1006                       does not trade
(_SLY_) 1007                       does not trade
(_SLY_) 550                        does not trade
(_SLY_) 551                        does not trade
(_SLY_) 552                        does not trade

Num trades  = 209 of 1000 items (20,9%)
Total cost  = 459 (avg 2,20)
Num groups  = 8
Group sizes = 161 18 10 9 5 2 2 2
Sum squares = 26463
