TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 6575579fb1848a58172e4e399946712e
ERRORS:
**** Item %BONFIRE for user (ISKRANAPROCHY) is repeated in want list for 2619.
**** Item %DARWIN for user (JAGASTR) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %DARWIN for user (JAGASTR) is repeated in want list for 2275.
**** Item %DARWIN for user (JAGASTR) is repeated in want list for 2277.
**** Item %DARWIN for user (JAGASTR) is repeated in want list for 2285.
**** Item %DWERGAR for user (KUSIEN) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %FORGOTTEN_WATERS for user (MARTIXX) is repeated in want list for 1513.
**** Item %FROSTPUNK_ALL_IN for user (POLO15) is repeated in want list for 739.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1557.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1559.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1561.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1564.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1566.
**** Item 1483 is repeated in want list for 2094.
**** Item 1851 is repeated in want list for 820.
**** Item 1851 is repeated in want list for 869.
**** Item 1851 is repeated in want list for 870.
**** Item 1851 is repeated in want list for 871.
**** Item 1851 is repeated in want list for 872.
**** Item 1851 is repeated in want list for 875.
**** Item 1851 is repeated in want list for 879.
**** Item 1851 is repeated in want list for 987.
**** Item 1852 is repeated in want list for 869.
**** Item 1852 is repeated in want list for 870.
**** Item 1852 is repeated in want list for 871.
**** Item 1852 is repeated in want list for 872.
**** Item 1852 is repeated in want list for 875.
**** Item 1852 is repeated in want list for 879.
**** Item 1852 is repeated in want list for 987.
**** Item 1883 is repeated in want list for 820.
**** Item 197 is repeated in want list for 1236.
**** Item 1973 is repeated in want list for 1527.
**** Item 228 is repeated in want list for 869.
**** Item 228 is repeated in want list for 870.
**** Item 228 is repeated in want list for 871.
**** Item 228 is repeated in want list for 872.
**** Item 228 is repeated in want list for 875.
**** Item 228 is repeated in want list for 879.
**** Item 228 is repeated in want list for 987.
**** Item 2291 is repeated in want list for 2108.
**** Item 2496 is repeated in want list for 1236.
**** Item 326 is repeated in want list for 2094.
**** Item 351 is repeated in want list for 1236.
**** Item 432 is repeated in want list for 2215.
**** Item 855 is repeated in want list for 2094.
**** Item 878 is repeated in want list for %ROLL_PLAYER for user (JAGGA68).
**** Unknown item %1700438958179 for user (DGRODO) (2 occurrences)
**** Unknown item %BONFIRE_BONFIRE_TREES_CREATURES for user (GABENS29) (1 occurrence)
**** Unknown item %PANDEMIC_FALL_OF_ROME for user (KURUNIR) (1 occurrence)
**** Unknown item %THE_KING_IS_DEAD_SECOND_EDITION_THE_KING_IS_DEAD_BETRAY_PROMO_CARD for user (LEINADUS) (2 occurrences)
**** Unknown item 042 (1 occurrence)
**** Unknown item 1459 (16 occurrences)
**** Unknown item 1462 (4 occurrences)
**** Unknown item 1464 (1 occurrence)
**** Unknown item 1466 (4 occurrences)
**** Unknown item 1468 (50 occurrences)
**** Unknown item 1757 (11 occurrences)
**** Unknown item 1762 (13 occurrences)
**** Unknown item 1764 (4 occurrences)
**** Unknown item 1766 (8 occurrences)
**** Unknown item 1768 (11 occurrences)
**** Unknown item 2164 (8 occurrences)
**** Unknown item 2167 (6 occurrences)
**** Unknown item 2169 (2 occurrences)
**** Unknown item 2170 (30 occurrences)
**** Unknown item 2172 (29 occurrences)
**** Unknown item 2173 (31 occurrences)
**** Unknown item 2175 (44 occurrences)
**** Unknown item 2179 (48 occurrences)
**** Unknown item 2180 (29 occurrences)
**** Unknown item 2181 (5 occurrences)
**** Unknown item 2182 (7 occurrences)
**** Unknown item 2222 (73 occurrences)
**** Unknown item 2224 (31 occurrences)
**** Unknown item 2225 (39 occurrences)
**** Unknown item 2228 (61 occurrences)
**** Unknown item 2230 (6 occurrences)
**** Unknown item 2249 (45 occurrences)
**** Unknown item 2253 (18 occurrences)
**** Unknown item 2490 (39 occurrences)
**** Unknown item 2492 (1 occurrence)
**** Unknown item 2577 (1 occurrence)
**** Unknown item 2578 (60 occurrences)
**** Unknown item 2580 (16 occurrences)
**** Unknown item 2583 (25 occurrences)
**** Unknown item 2585 (29 occurrences)
**** Unknown item 2588 (2 occurrences)
**** Unknown item 2589 (2 occurrences)
**** Unknown item 2594 (31 occurrences)
**** Unknown item 2595 (14 occurrences)
**** Unknown item 2596 (38 occurrences)
**** Unknown item 308 (70 occurrences)
**** Unknown item 309 (6 occurrences)
**** Unknown item 310 (63 occurrences)
**** Unknown item 311 (5 occurrences)
**** Unknown item 312 (107 occurrences)
**** Unknown item 394 (33 occurrences)
**** Unknown item 559 (4 occurrences)

TRADE LOOPS (715 total trades):

(_SLY_) 451            receives (ANOPTICHTYS) 1614
(KOMIX) 1594           receives (KONRADSTPN) 281       and sends to (SWIROFF) 926
(KOMIX) 1595           receives (MAAATI) 950           and sends to (GRZEGORZX) 1737
(KOMIX) 1596                       does not trade
(KOMIX) 1597           receives (RALFMARK) 1775        and sends to (ENDZITREBRON) 1447
(KOMIX) 1598           receives (KORPOREJSZYN) 1115    and sends to (VOYDEN) 140
(KOMIX) 1599                       does not trade
(KOMIX) 1600           receives (POLO15) 743           and sends to (PANCOR) 2321
(KOMIX) 1601           receives (REEVS) 2566           and sends to (JAKUBWAKIEC) 685
(KOMIX) 1602           receives (PUSHEENEIRO) 827      and sends to (ANIAW89) 477
(KOMIX) 1603                       does not trade
(KOMIX) 1604                       does not trade
(KOMIX) 1605                       does not trade
(KOMIX) 1606                       does not trade
(KOMIX) 1607                       does not trade
(KOMIX) 1608                       does not trade
(KOMIX) 1609                       does not trade
(KONRADSTPN) 1411                  does not trade
(KONRADSTPN) 1684      receives (VORONWE) 888          and sends to (SWIROFF) 933
(KONRADSTPN) 246                   does not trade
(KONRADSTPN) 247                   does not trade
(KONRADSTPN) 248                   does not trade
(KONRADSTPN) 250                   does not trade
(KONRADSTPN) 251                   does not trade
(KONRADSTPN) 252                   does not trade
(KONRADSTPN) 253                   does not trade
(KONRADSTPN) 254                   does not trade
(KONRADSTPN) 255                   does not trade
(KONRADSTPN) 256       receives (BOGAS_9) 1656         and sends to (JOANNAALICJA) 294
(KONRADSTPN) 257                   does not trade
(KONRADSTPN) 258                   does not trade
(KONRADSTPN) 259                   does not trade
(KONRADSTPN) 260                   does not trade
(KONRADSTPN) 261                   does not trade
(KONRADSTPN) 262                   does not trade
(KONRADSTPN) 263                   does not trade
(KONRADSTPN) 264                   does not trade
(KONRADSTPN) 2641      receives (RUTRA1992) 1292       and sends to (PALMEREX) 1814
(KONRADSTPN) 265       receives (_SLY_) 455            and sends to (PANCOR) 2401
(KONRADSTPN) 267                   does not trade
(KONRADSTPN) 268                   does not trade
(KONRADSTPN) 269                   does not trade
(KONRADSTPN) 270                   does not trade
(KONRADSTPN) 271                   does not trade
(KONRADSTPN) 272                   does not trade
(KONRADSTPN) 273                   does not trade
(KONRADSTPN) 274                   does not trade
(KONRADSTPN) 275                   does not trade
(KONRADSTPN) 276                   does not trade
(KONRADSTPN) 278                   does not trade
(KONRADSTPN) 279       receives (MISIENCJUSZ) 658      and sends to (GARG) 1363
(KONRADSTPN) 280                   does not trade
(KONRADSTPN) 281       receives (REVACHOLIAN) 548      and sends to (KOMIX) 1594
(KONRADSTPN) 282                   does not trade
(KONRADSTPN) 708                   does not trade
(KONRADSTPN) 709                   does not trade
(KONRADSTPN) 711                   does not trade
(KONRADSTPN) 712                   does not trade
(KOPEC) 1095                       does not trade
(KOPEC) 1096                       does not trade
(KOPEC) 1097                       does not trade
(KOPEC) 1098                       does not trade
(KOPEC) 1099                       does not trade
(KOPEC) 1100                       does not trade
(KOPEC) 1101                       does not trade
(KOPEC) 1102           receives (MARSJANKA) 1900       and sends to (PATT23R) 1301
(KOPEC) 1105           receives (REEVS) 2568           and sends to (ZAWATERNIOK) 288
(KOPEC) 1107                       does not trade
(KOPEC) 1110                       does not trade
(KOPEC) 1112                       does not trade
(KOPEC) 1116                       does not trade
(KOPEC) 1120                       does not trade
(KORPOREJSZYN) 1103    receives (DIBBLER) 560          and sends to (JEDREK) 2316
(KORPOREJSZYN) 1104                does not trade
(KORPOREJSZYN) 1106    receives (BLEBOK) 852           and sends to (ARASHII) 1752
(KORPOREJSZYN) 1108    receives (SZCZEPAN89) 6         and sends to (RENEG8D) 763
(KORPOREJSZYN) 1109                does not trade
(KORPOREJSZYN) 1111    receives (ANOPTICHTYS) 1610     and sends to (ANIAW89) 484
(KORPOREJSZYN) 1113                does not trade
(KORPOREJSZYN) 1114    receives (VDER) 2106            and sends to (PEPER777) 969
(KORPOREJSZYN) 1115    receives (WAGNER123) 398        and sends to (KOMIX) 1598
(KORPOREJSZYN) 1117                does not trade
(KORPOREJSZYN) 1118                does not trade
(KORPOREJSZYN) 1119    receives (GARG) 1370            and sends to (POLO15) 743
(KORPOREJSZYN) 1121    receives (MTNW) 1284            and sends to (SAWMODY) 349
(KOSHIASH) 1254                    does not trade
(KOSHIASH) 1255                    does not trade
(KOSHIASH) 1256                    does not trade
(KOSHIASH) 1257                    does not trade
(KOSHIASH) 1258                    does not trade
(KOSHIASH) 1259        receives (MAMCZAR63) 1229       and sends to (DENINIS) 535
(KOSHIASH) 1260                    does not trade
(KOSHIASH) 1261                    does not trade
(KOSHIASH) 1262                    does not trade
(KRASNY853) 2200       receives (LUKASHI) 595          and sends to (POLO15) 735
(KRASNY853) 2205                   does not trade
(KRASNY853) 2213                   does not trade
(KRET_87) 1953                     does not trade
(KRET_87) 1954                     does not trade
(KRET_87) 1956                     does not trade
(KRET_87) 1957                     does not trade
(KRJ_KING) 2342        receives (ANOPTICHTYS) 1619     and sends to (FIUFEK) 89
(KRJ_KING) 2348                    does not trade
(KROMKA) 500                       does not trade
(KROMKA) 502                       does not trade
(KROMKA) 504                       does not trade
(KROMKA) 505                       does not trade
(KROMKA) 507                       does not trade
(KROMKA) 509                       does not trade
(KROMKA) 511                       does not trade
(KROMKA) 513                       does not trade
(KROMKA) 515                       does not trade
(KROMKA) 518           receives (JOANNAALICJA) 1289    and sends to (CHARLIEVEGAN) 2640
(KROMKA) 522                       does not trade
(KROMKA) 524           receives (JAGASTR) 2285         and sends to (STACHUSTACH187) 1136
(KROMKA) 526           receives (BAARTOSZZ) 2612       and sends to (REEVS) 2560
(KROMKA) 527                       does not trade
(KROMKA) 528                       does not trade
(KROMKA) 530                       does not trade
(KROMKA) 531                       does not trade
(KROMKA) 533           receives (BLEBOK) 851           and sends to (FPS_PYZ) 1740
(KROMKA) 538                       does not trade
(KROMKA) 539           receives (SWONICK) 1865         and sends to (RAZUL) 2154
(KRYSTEK) 705                      does not trade
(KRYSTEK) 707          receives (YOSZ) 1863            and sends to (MS103) 797
(KRYSTEK) 710                      does not trade
(KRYSTEK) 713          receives (PANCOR) 2458          and sends to (SCRABER) 1013
(KRYSTEK) 714          receives (BARTMAN71) 1716       and sends to (JOANNAALICJA) 1289
(KUROAI) 1955                      does not trade
(KURUNIR) 1322                     does not trade
(KURUNIR) 687                      does not trade
(KURUNIR) 689          receives (PAROOS) 1753          and sends to (FANTAZYN) 997
(KURUNIR) 690          receives (RYSKAL) 1163          and sends to (XENIR) 693
(KUSIEN) 1264                      does not trade
(KUSIEN) 1265          receives (VAGABOOOND) 2177      and sends to (RAZUL) 2149
(KUSIEN) 1267                      does not trade
(KUSIEN) 1272                      does not trade
(KUSIEN) 1273                      does not trade
(KUSIEN) 1274          receives (PATRYKGALKA) 154      and sends to (NIEDZIELNYPIONEK) 406
(KUSIEN) 1275                      does not trade
(KUSIEN) 1277                      does not trade
(KUSIEN) 1281                      does not trade
(KUSIEN) 1285                      does not trade
(KUSIEN) 1287                      does not trade
(LADZIK) 2211                      does not trade
(LADZIK) 2214                      does not trade
(LADZIK) 2217          receives (KLANCYG) 1919         and sends to (ZGREDZIO13) 1781
(LADZIK) 2218          receives (JAKUBWAKIEC) 682      and sends to (MTNW) 1280
(LADZIK) 2221                      does not trade
(LADZIK) 2346                      does not trade
(LADZIK) 2347                      does not trade
(LADZIK) 2349          receives (BUJNIAQ) 1874         and sends to (BOBULE) 2056
(LADZIK) 2353          receives (MDROZDZIOK9595) 938   and sends to (SZUKASZ) 387
(LADZIK) 2355                      does not trade
(LADZIK) 2358                      does not trade
(LADZIK) 2360                      does not trade
(LADZIK) 2363                      does not trade
(LADZIK) 2365                      does not trade
(LADZIK) 2369                      does not trade
(LADZIK) 2370                      does not trade
(LADZIK) 2491                      does not trade
(LASSE LINDSTROM) 2119             does not trade
(LASSE LINDSTROM) 2120             does not trade
(LASSE LINDSTROM) 2123             does not trade
(LASSE LINDSTROM) 2124             does not trade
(LASSE LINDSTROM) 2125             does not trade
(LASSE LINDSTROM) 2126             does not trade
(LASSE LINDSTROM) 2128             does not trade
(LASSE LINDSTROM) 2129             does not trade
(LASSE LINDSTROM) 2130             does not trade
(LASSE LINDSTROM) 2131             does not trade
(LASSE LINDSTROM) 2142 receives (DEEDO72) 2093         and sends to (PUSHEENEIRO) 834
(LATERIO) 1944         receives (RFLA) 327             and sends to (RUTRA1992) 1295
(LATERIO) 1947                     does not trade
(LATERIO) 1952         receives (BRILLOWSKI) 1794      and sends to (QRZY88) 1418
(LEINADUS) 1871        receives (WARENHARI) 928        and sends to (LUKASHI) 594
(LEINADUS) 2302                    does not trade
(LEINADUS) 602         receives (KOMIX) 1589           and sends to (FPS_PYZ) 2033
(LEINADUS) 606                     does not trade
(LEINADUS) 607                     does not trade
(LEINADUS) 609         receives (LISEK2000) 1570       and sends to (ROBAL) 1578
(LEINADUS) 612                     does not trade
(LEINADUS) 614                     does not trade
(LEINADUS) 706         receives (FPS_PYZ) 1719         and sends to (HELBENTFORLEDER) 618
(LISEK2000) 1524                   does not trade
(LISEK2000) 1525                   does not trade
(LISEK2000) 1526                   does not trade
(LISEK2000) 1529       receives (JACEKBARBER) 1360     and sends to (RENEG8D) 2187
(LISEK2000) 1530                   does not trade
(LISEK2000) 1532       receives (YOORECK) 376          and sends to (RAFMIX) 774
(LISEK2000) 1533                   does not trade
(LISEK2000) 1534                   does not trade
(LISEK2000) 1535                   does not trade
(LISEK2000) 1536                   does not trade
(LISEK2000) 1537                   does not trade
(LISEK2000) 1539       receives (MANKOSLAW) 2111       and sends to (NEDENO) 621
(LISEK2000) 1541       receives (PONIEWAZ) 2438        and sends to (HELLOWEEN85) 853
(LISEK2000) 1542                   does not trade
(LISEK2000) 1544                   does not trade
(LISEK2000) 1547                   does not trade
(LISEK2000) 1549       receives (MIZIO) 1457           and sends to (KLOS_X) 2537
(LISEK2000) 1550       receives (BIGBADSHEEP) 1663     and sends to (RODAN77) 1132
(LISEK2000) 1551       receives (MTNW) 1283            and sends to (PANCOR) 2480
(LISEK2000) 1553                   does not trade
(LISEK2000) 1554                   does not trade
(LISEK2000) 1556                   does not trade
(LISEK2000) 1568       receives (PIECHOTAK) 1641       and sends to (BAAKA) 363
(LISEK2000) 1570       receives (MZEPTER) 1491         and sends to (LEINADUS) 609
(LISEK2000) 1571                   does not trade
(LISEK2000) 1572                   does not trade
(LISEK2000) 1574       receives (RYSKAL) 1147          and sends to (DENINIS) 492
(LISEK2000) 1576                   does not trade
(LISEK2000) 1577       receives (SYDONIAA) 1890        and sends to (WARRTAIN) 1172
(LISEK2000) 2079                   does not trade
(LISEK2000) 2082                   does not trade
(LKOPER) 1191                      does not trade
(LKOPER) 1192                      does not trade
(LKOPER) 1193                      does not trade
(LOMAX1983) 1940                   does not trade
(LOMAX1983) 1942                   does not trade
(LOMAX1983) 1950                   does not trade
(LOUREDPL) 840                     does not trade
(LOUREDPL) 841                     does not trade
(LOUREDPL) 842                     does not trade
(LOUREDPL) 843                     does not trade
(LOUREDPL) 844         receives (OSTRY) 183            and sends to (PIECHOTAK) 1641
(LOUREDPL) 846                     does not trade
(LUKASHI) 586          receives (FIUFEK) 69            and sends to (OSTRY) 183
(LUKASHI) 593                      does not trade
(LUKASHI) 594          receives (LEINADUS) 1871        and sends to (MARCINGIELEWSKI) 1092
(LUKASHI) 595          receives (CHARLIEVEGAN) 717     and sends to (KRASNY853) 2200
(LUKASHI) 596                      does not trade
(LUKASHI) 597                      does not trade
(LUKASHI) 598                      does not trade
(LUKASHI) 599                      does not trade
(LUKASHI) 600                      does not trade
(LUKASHI) 601          receives (ISKRANAPROCHY) 2617   and sends to (ATRAPANTHERA) 839
(LUKASHI) 603          receives (KLANCYG) 1906         and sends to (ANOPTICHTYS) 2549
(LUKASHI) 604                      does not trade
(LUKASHI) 605          receives (KLANCYG) 1910         and sends to (DENINIS) 510
(LUKASHI) 608                      does not trade
(LUKASHI) 610          receives (POLO15) 735           and sends to (BART HENRY) 2197
(LUKASHI) 611                      does not trade
(LUKASHI) 613          receives (MORMAKILL) 21         and sends to (SWIROFF) 929
(LUKASHI) 615                      does not trade
(LUKASZ90) 1317                    does not trade
(LUKASZ90) 1318                    does not trade
(LUKASZ90) 1319                    does not trade
(LUKASZ90) 1320                    does not trade
(LUKASZ90) 1321                    does not trade
(LUKASZ90) 1326                    does not trade
(LUKASZ90) 1329                    does not trade
(LUKASZ90) 1331                    does not trade
(LUKASZ90) 1334                    does not trade
(LUKI364) 2502                     does not trade
(LUKI364) 2503                     does not trade
(LUKI364) 2504                     does not trade
(LUKI364) 2505                     does not trade
(LUKI364) 2506                     does not trade
(LUKI364) 2507                     does not trade
(LUKI364) 2508                     does not trade
(LUKI364) 2509                     does not trade
(LUKI364) 2510                     does not trade
(LUKI364) 2511                     does not trade
(LUKI364) 2513                     does not trade
(LUKI364) 2514                     does not trade
(M1SHA) 2306                       does not trade
(M1SHA) 943            receives (POLO15) 737           and sends to (DGRODO) 1439
(MAAATI) 1969          receives (MS103) 797            and sends to (PANCOR) 2394
(MAAATI) 1974                      does not trade
(MAAATI) 1976                      does not trade
(MAAATI) 1984                      does not trade
(MAAATI) 1988                      does not trade
(MAAATI) 1994                      does not trade
(MAAATI) 2036                      does not trade
(MAAATI) 945                       does not trade
(MAAATI) 946                       does not trade
(MAAATI) 947                       does not trade
(MAAATI) 948                       does not trade
(MAAATI) 949                       does not trade
(MAAATI) 950           receives (REVACHOLIAN) 549      and sends to (KOMIX) 1595
(MAAATI) 951                       does not trade
(MAAATI) 952                       does not trade
(MACCOWY) 1756                     does not trade
(MACCOWY) 1778                     does not trade
(MACCOWY) 1798         receives (FREYA2226) 2005       and sends to (BAARTOSZZ) 390
(MACCOWY) 1899         receives (RYSKAL) 1154          and sends to (JAKUBWAKIEC) 682
(MADZIALENA7) 2088                 does not trade
(MADZIALENA7) 2089                 does not trade
(MADZIALENA7) 2090                 does not trade
(MADZIALENA7) 2092     receives (JACEKBARBER) 1353     and sends to (SIPIO) 1679
(MADZIALENA7) 2097                 does not trade
(MADZIALENA7) 2098                 does not trade
(MADZIALENA7) 2101     receives (XENIR) 691            and sends to (SWONICK) 2638
(MADZIALENA7) 2103                 does not trade
(MADZIALENA7) 2104     receives (DARKERSIDE) 944       and sends to (GABENS29) 209
(MADZIALENA7) 2105     receives (DGRODO) 1446          and sends to (BAAKA) 704
(MAGUN071) 508         receives (CORRAN) 446           and sends to (COOL_MAX) 18
(MAGUN071) 512                     does not trade
(MAGUN071) 516         receives (YOSEK) 243            and sends to (JENNY70) 2244
(MAGUN071) 517                     does not trade
(MAJKOS) 393                       does not trade
(MAJZOWNIK) 1077                   does not trade
(MAJZOWNIK) 1079       receives (HELLOWEEN85) 858      and sends to (KALAY) 670
(MAJZOWNIK) 332                    does not trade
(MAJZOWNIK) 333                    does not trade
(MAJZOWNIK) 335                    does not trade
(MAJZOWNIK) 337                    does not trade
(MAJZOWNIK) 338                    does not trade
(MAJZOWNIK) 339                    does not trade
(MAJZOWNIK) 340        receives (BARTP) 916            and sends to (BOGAS_9) 1656
(MAJZOWNIK) 342                    does not trade
(MAJZOWNIK) 343                    does not trade
(MAJZOWNIK) 344                    does not trade
(MAJZOWNIK) 345                    does not trade
(MALEKITH_86) 2139                 does not trade
(MALEKITH_86) 2143                 does not trade
(MALEKITH_86) 2144                 does not trade
(MALEKITH_86) 2146                 does not trade
(MALEKITH_86) 2148                 does not trade
(MALEKITH_86) 2150                 does not trade
(MALEKITH_86) 2152                 does not trade
(MALEKITH_86) 2153                 does not trade
(MALEKITH_86) 2155                 does not trade
(MAMCZAR63) 1229       receives (JAKUBWAKIEC) 685      and sends to (KOSHIASH) 1259
(MAMCZAR63) 1230                   does not trade
(MAMCZAR63) 1231                   does not trade
(MAMCZAR63) 1233       receives (ASPENNR) 1677         and sends to (ELPRZYBYLLO) 1269
(MANKOSLAW) 2109       receives (JNOWACZY) 434         and sends to (MIZIO) 1455
(MANKOSLAW) 2111       receives (FREYA2226) 2011       and sends to (LISEK2000) 1539
(MANKOSLAW) 2115                   does not trade
(MANKOSLAW) 2116       receives (ANIAW89) 474          and sends to (MORMAKILL) 21
(MANKOSLAW) 2118       receives (BAAKA) 352            and sends to (BUJNIAQ) 1874
(MANKOSLAW) 2122                   does not trade
(MARCINGIELEWSKI) 1091             does not trade
(MARCINGIELEWSKI) 1092 receives (LUKASHI) 594          and sends to (DENINIS) 494
(MARCINGIELEWSKI) 1093             does not trade
(MARCINGIELEWSKI) 1094 receives (JENNY70) 2210         and sends to (STONEROCK) 875
(MARCINGIELEWSKI) 575              does not trade
(MARKOO) 2579                      does not trade
(MARKOO) 2581                      does not trade
(MARKOO) 2584          receives (DOCIA) 2613           and sends to (JOANNAALICJA) 298
(MARKOO) 2587          receives (JACEKBARBER) 1352     and sends to (PONIEWAZ) 2443
(MARKOO) 2590                      does not trade
(MARKOO) 2591                      does not trade
(MARKOO) 2592          receives (PATRYKGALKA) 169      and sends to (JAGASTR) 2287
(MARKOO) 2593          receives (JAKUBWAKIEC) 678      and sends to (ADMI99) 218
(MARQUEZ93) 2257                   does not trade
(MARQUEZ93) 2268                   does not trade
(MARQUEZ93) 2272                   does not trade
(MARQUEZ93) 2281                   does not trade
(MARQUEZ93) 2303                   does not trade
(MARSJANKA) 1892       receives (BOBULE) 2056          and sends to (BREGORZ) 1420
(MARSJANKA) 1893                   does not trade
(MARSJANKA) 1894                   does not trade
(MARSJANKA) 1900       receives (XEROPHINE) 1935       and sends to (KOPEC) 1102
(MARTIXX) 1509                     does not trade
(MARTIXX) 1510                     does not trade
(MARTIXX) 1511                     does not trade
(MARTIXX) 1513         receives (PROBBI) 1476          and sends to (ARAS_SWAJ) 2084
(MARTIXX) 1514                     does not trade
(MARTIXX) 1905                     does not trade
(MARUDA_24) 1046       receives (GRUNWALD) 490         and sends to (DENINIS) 493
(MARUDA_24) 1047                   does not trade
(MARUDA_24) 1048                   does not trade
(MARUDA_24) 1049       receives (XENIR) 697            and sends to (PAWLIK) 664
(MARUDA_24) 1050                   does not trade
(MARUDA_24) 1051                   does not trade
(MARUDA_24) 1052       receives (COMFORT EAGLE) 860    and sends to (PAWLIK) 663
(MARUDA_24) 1053       receives (RENEG8D) 763          and sends to (RAISTLINJEDYNY) 1246
(MARUDA_24) 1054                   does not trade
(MARUDA_24) 1055                   does not trade
(MARUDA_24) 1056                   does not trade
(MARUDA_24) 1057                   does not trade
(MARUDA_24) 1058                   does not trade
(MARUDA_24) 1059       receives (BART HENRY) 2240      and sends to (TYMOTEUSZ7) 540
(MARUDA_24) 1060                   does not trade
(MAYASTY) 873                      does not trade
(MAYASTY) 874          receives (NUMERNABIS) 1921      and sends to (FPS_PYZ) 1719
(MDROZDZIOK9595) 1179  receives (BALD_MASTER) 462      and sends to (JEDREK) 346
(MDROZDZIOK9595) 1180              does not trade
(MDROZDZIOK9595) 1181  receives (SZUKASZ) 387          and sends to (BRASAS) 1978
(MDROZDZIOK9595) 1182              does not trade
(MDROZDZIOK9595) 1183              does not trade
(MDROZDZIOK9595) 1184              does not trade
(MDROZDZIOK9595) 1185  receives (TH13TEEN) 1340        and sends to (JOANNAALICJA) 299
(MDROZDZIOK9595) 936   receives (PATRYKGALKA) 17       and sends to (UNKNOWN0) 459
(MDROZDZIOK9595) 937               does not trade
(MDROZDZIOK9595) 938   receives (SWONICK) 1860         and sends to (LADZIK) 2353
(MDROZDZIOK9595) 939               does not trade
(MDROZDZIOK9595) 940               does not trade
(MDROZDZIOK9595) 941               does not trade
(MDROZDZIOK9595) 942               does not trade
(MEKINDO) 1449                     does not trade
(MEKINDO) 1859                     does not trade
(MGRAJCAREK) 380                   does not trade
(MGRAJCAREK) 392       receives (HELLOWEEN85) 854      and sends to (PUSHEENEIRO) 837
(MICHALPOLSKA) 367     receives (MORMAKILL) 30         and sends to (MUDIABC) 1242
(MICHALPOLSKA) 369                 does not trade
(MICHALPOLSKA) 371     receives (SCRABER) 662          and sends to (AGAMEMNONXD) 2263
(MICHELITO42) 1470                 does not trade
(MICHELITO42) 1662                 does not trade
(MICZI92) 1429                     does not trade
(MICZI92) 1430                     does not trade
(MIDNIGHTJACK) 2481                does not trade
(MIDNIGHTJACK) 2483                does not trade
(MIDNIGHTJACK) 2485    receives (DEEDO72) 2076         and sends to (POLO15) 728
(MIDNIGHTJACK) 2486    receives (VDER) 2102            and sends to (ZAWATERNIOK) 315
(MIDNIGHTJACK) 2487                does not trade
(MIDNIGHTJACK) 2488                does not trade
(MIDNIGHTJACK) 2489                does not trade
(MIDNIGHTJACK) 2499                does not trade
(MIDNIGHTJACK) 2500                does not trade
(MIDNIGHTJACK) 2501                does not trade
(MIKOLAJ1110) 1523                 does not trade
(MIKOLAJ1110) 1527     receives (SHADOWA) 1973         and sends to (MIZIO) 1451
(MIKOLAJ1110) 1555     receives (FANTAZYN) 998         and sends to (RAZUL) 2163
(MIKOLAJ1110) 1560     receives (VOYDEN) 112           and sends to (BIGBADSHEEP) 1669
(MIKOLAJL) 2359                    does not trade
(MIKOLAJL) 2362                    does not trade
(MIKOLAJL) 2364                    does not trade
(MIKOLAJL) 2367                    does not trade
(MISIENCJUSZ) 1823     receives (BIGBADSHEEP) 1668     and sends to (JACEKBARBER) 1355
(MISIENCJUSZ) 307                  does not trade
(MISIENCJUSZ) 658      receives (ADMI99) 218           and sends to (KONRADSTPN) 279
(MIZIO) 1451           receives (MIKOLAJ1110) 1527     and sends to (PEPER777) 966
(MIZIO) 1452                       does not trade
(MIZIO) 1453                       does not trade
(MIZIO) 1455           receives (MANKOSLAW) 2109       and sends to (RUTRA1992) 1292
(MIZIO) 1456                       does not trade
(MIZIO) 1457           receives (MTNW) 1280            and sends to (LISEK2000) 1549
(MIZIO) 1639           receives (HARUN) 1169           and sends to (PATRYKGALKA) 117
(MONIAAA) 1316                     does not trade
(MONIAAA) 289          receives (PANDORZECZA) 1519     and sends to (RALFMARK) 1760
(MONIAAA) 290                      does not trade
(MORKRET) 776                      does not trade
(MORKRET) 777                      does not trade
(MORKRET) 778                      does not trade
(MORKRET) 779                      does not trade
(MORKRET) 780                      does not trade
(MORKRET) 781                      does not trade
(MORKRET) 783                      does not trade
(MORKRET) 784                      does not trade
(MORKRET) 785                      does not trade
(MORKRET) 786                      does not trade
(MORKRET) 787                      does not trade
(MORKRET) 788                      does not trade
(MORKRET) 789                      does not trade
(MORKRET) 790                      does not trade
(MORMAKILL) 21         receives (MANKOSLAW) 2116       and sends to (LUKASHI) 613
(MORMAKILL) 22                     does not trade
(MORMAKILL) 25                     does not trade
(MORMAKILL) 27                     does not trade
(MORMAKILL) 28                     does not trade
